"line","word_count","font_size","is_bold","color","title_case","label"
"[In thousands (11,062.6 represents 11,062,600) For year ending December 31. Based on Uniform Crime Reporting (UCR)","16","6.936","False","#000000","False","paragraph"
"Program. Represents arrests reported (not charged) by 12,910 agencies with a total population of 247,526,916 as estimated","17","6.936","False","#000000","False","paragraph"
"by the FBI. Some persons may be arrested more than once during a year, therefore, the data in this table, in some cases,","23","6.936","False","#000000","False","paragraph"
"could represent multiple arrests of the same person. See text, this section and source]","14","6.936","False","#000000","False","paragraph"
"Represents zero. X Not applicable. 1 Buying, receiving, possessing stolen property. 2 Except forcible rape and prostitution.","17","6.936","False","#000000","False","paragraph"
"Source: U.S. Department of Justice, Federal Bureau of Investigation, Uniform Crime Reports, Arrests Master Files.","15","6.936","False","#000000","True","paragraph"
"[Based on Uniform Crime Reporting (UCR) Program. Represents arrests reported (not charged) by 12,371 agencies","15","6.936","False","#000000","False","paragraph"
"with a total population of 239,839,971 as estimated by the FBI. See headnote, Table 324]","15","6.936","False","#000000","False","paragraph"
"1 Except forcible rape and prostitution.","6","6.936","False","#000000","False","paragraph"
"Source: U.S. Department of Justice, Federal Bureau of Investigation, “Crime in the United States, Arrests,” September 2010,","17","6.936","False","#000000","False","paragraph"
"<http://www.fbi.gov/ucr/cius2009/arrests/index.html>.","1","6.936","False","#000000","False","paragraph"
"206 Law Enforcement, Courts, and Prisons","6","9.488","False","#000000","True","heading"
"U.S. Census Bureau, Statistical Abstract of the United States: 2012","10","7.116","False","#000000","True","paragraph"
