"line","word_count","font_size","is_bold","color","title_case","label"
"For help after an accident please call our 24hour","9","17.99","False","#000000","False","paragraph"
"claim line on 0330 024 1305 as soon as you can.","11","17.99","False","#000000","False","paragraph"
"AXA Car Insurance","3","46.44","False","#000000","True","heading"
"Your policy wording","3","25.7","False","#000000","False","heading"
"Welcome","1","37.71","False","#000000","True","heading"
"Thank you for choosing AXA car insurance.","7","18.06","False","#000000","False","paragraph"
"We are part of the AXA Group one of the world’s leading insurers and financial services providers so","18","15.42","False","#000000","False","paragraph"
"you’re in safe hands.","4","15.42","False","#000000","False","paragraph"
"Your policy wording","3","25.14","False","#000000","False","heading"
"T his booklet contains details of your cover. It should be read along with your schedule and certificate","18","15.42","False","#000000","False","paragraph"
"of motor insurance.","3","15.42","False","#000000","False","paragraph"
"AXA’s UK based claims team is ready to help. It’s reassuring to know you have expert support when you","19","15.42","False","#000000","False","paragraph"
"need it most.","3","15.42","False","#000000","False","paragraph"
"What’s more, if you’re contacted by anyone else regarding your claim, simply pass them on to us. We’re","18","15.42","False","#000000","False","paragraph"
"here to look after everything for you, with the minimum of fuss.","12","15.42","False","#000000","False","paragraph"
"! Remember to keep your details up to date","9","15.48","False","#000000","False","paragraph"
"So that you always have the cover you need, please make sure all your information is correct at all","19","15.42","False","#000000","False","paragraph"
"times. It’s easy to update your details in My AXA Account – your personal online account. You can log in","20","15.42","False","#000000","False","paragraph"
"any time using your email address and chosen password.","9","15.42","False","#000000","False","paragraph"
"Making a claim","3","25.14","False","#000000","False","heading"
"Call to claim","3","25.14","False","#000000","False","heading"
"Claims in the UK:","4","16.77","False","#000000","True","paragraph"
"Claims outside the UK:","4","16.77","False","#000000","False","paragraph"
"Windscreen claims:","2","16.77","False","#000000","False","paragraph"
"Lines open 24 hours a day 7 days a week.","10","11.61","False","#000000","False","paragraph"
"If your car can be repaired by one of our approved","11","15.42","False","#000000","False","paragraph"
"repairers they will supply you with a courtesy car","9","15.42","False","#000000","False","paragraph"
"while your car is off the road. All repairs carried","10","15.42","False","#000000","False","paragraph"
"out by our approved repairers are guaranteed","7","15.42","False","#000000","False","paragraph"
"throughout the time that you own your car.","8","15.42","False","#000000","False","paragraph"
"0330 024 1305","3","16.77","False","#000000","True","paragraph"
"0044 1732 376249","3","16.77","False","#000000","True","paragraph"
"0330 024 1306","3","16.77","False","#000000","True","paragraph"
"Car accident claims guide","4","25.14","False","#000000","False","heading"
"Go to www.axa.co.uk/insurance/personal/","3","15.42","False","#000000","False","paragraph"
"car/advice-news/accident-guide/","1","15.42","False","#000000","False","paragraph"
"for useful advice and information. It’s a","7","15.42","False","#000000","False","paragraph"
"good idea to print the guide and keep it in","10","15.42","False","#000000","False","paragraph"
"your car.","2","15.42","False","#000000","True","paragraph"
"2 of 32","3","14.157","False","#000000","True","paragraph"
"Contents","1","25.14","False","#000000","True","heading"
"Section","1","15.48","False","#000000","True","paragraph"
"Page no","2","15.48","False","#000000","True","paragraph"
"Your contract of insurance","4","25.14","False","#000000","False","heading"
"T his policy document gives details of your cover","9","14.135","False","#000000","False","paragraph"
"and it should be read along with your schedule and","10","14.135","False","#000000","False","paragraph"
"certificate of motor insurance. Please take time","7","13.827","False","#000000","False","paragraph"
"to read through all these documents that contain","8","14.135","False","#000000","False","paragraph"
"important information about the details you have given","8","14.135","False","#000000","False","paragraph"
"and check that the information is correct. If anything is","10","14.135","False","#000000","False","paragraph"
"wrong or needs to be changed please advise us via My","11","14.135","False","#000000","False","paragraph"
"AXA Account.","2","13.827","False","#000000","True","paragraph"
"You must also advise us of any changes to your","10","14.135","False","#000000","False","paragraph"
"information via My AXA Account during the policy","8","13.827","False","#000000","False","paragraph"
"period of insurance; details of the type of changes we","10","14.135","False","#000000","False","paragraph"
"need to know about are contained in General condition","9","14.135","False","#000000","False","paragraph"
"2 on page 27 of this policy","7","14.135","False","#000000","False","paragraph"
"If the information that you have given us is not true","11","14.135","False","#000000","False","paragraph"
"and complete to the best of your knowledge and belief","10","14.135","False","#000000","False","paragraph"
"your policy may not protect you in the event of a claim.","12","14.135","False","#000000","False","paragraph"
"You should also show your policy to anyone else who","10","14.135","False","#000000","False","paragraph"
"is covered under it and ensure that they are aware of","11","14.135","False","#000000","False","paragraph"
"its terms and conditions.","4","14.135","False","#000000","False","paragraph"
"You and we can choose the law which applies to this","11","14.135","False","#000000","False","paragraph"
"policy. Unless we and you agree otherwise, English","8","14.135","False","#000000","False","paragraph"
"law will apply to this policy.","6","14.135","False","#000000","False","paragraph"
"The parties to this contract are you and us. Nothing","10","14.135","False","#000000","False","paragraph"
"in this contract shall create any rights to third parties","10","14.135","False","#000000","False","paragraph"
"under the Contracts (Rights of Third Parties) Act 1999","9","14.135","False","#000000","False","paragraph"
"and no variation of this contract, nor any supplemental","9","14.135","False","#000000","False","paragraph"
"or ancillary agreement shall create any such rights","8","14.135","False","#000000","False","paragraph"
"unless expressly so stated. This does not affect any","9","14.135","False","#000000","False","paragraph"
"right or remedy of a third party which exists or is","11","14.135","False","#000000","False","paragraph"
"available apart from this Act.","5","14.135","False","#000000","False","paragraph"
"In return for your premium, we will provide the cover","10","14.135","False","#000000","False","paragraph"
"shown in your policy for accident, injury, loss or","9","14.135","False","#000000","False","paragraph"
"damage that happens within the territorial limits","7","14.135","False","#000000","False","paragraph"
"during the period of insurance.","5","13.827","False","#000000","False","paragraph"
"Amanda Blanc","2","13.827","False","#000000","True","paragraph"
"CEO, AXA UK & Ireland General Insurance","7","13.827","False","#000000","True","paragraph"
"Your cover","2","25.14","False","#000000","False","heading"
"Type of cover Sections that apply","6","15.48","False","#000000","False","paragraph"
"Comprehensive Sections A to H apply.","6","14.135","False","#000000","False","paragraph"
"Third party fire Sections B,C & H apply.","8","14.135","False","#000000","False","paragraph"
"and theft Section G applies in respect of","8","14.135","False","#000000","False","paragraph"
"Fire and Theft only.","4","14.135","False","#000000","False","paragraph"
"Optional services Sections I, J, K and L only","9","14.135","False","#000000","False","paragraph"
"apply if stated on your schedule","6","14.135","False","#000000","False","paragraph"
"Please read all the exclusions and conditions that","8","14.135","False","#000000","False","paragraph"
"apply to each section of your policy.","7","14.135","False","#000000","False","paragraph"
"AXA are covered by the Financial Services","7","14.135","False","#000000","False","paragraph"
"Compensation Scheme (FSCS). You may be entitled to","8","14.135","False","#000000","False","paragraph"
"compensation from the scheme in the unlikely event","8","14.135","False","#000000","False","paragraph"
