"line","word_count","font_size","is_bold","color","title_case","label"
"Deep Neural Networks for Object Detection","6","22.397","False","#000000","True","heading"
"Christian Szegedy Alexander Toshev Dumitru Erhan","6","12.961","False","#000000","True","heading"
"{szegedy, Google,","2","10.441","False","#000000","False","paragraph"
"dumitru}@google.com Inc.","2","10.441","False","#000000","False","paragraph"
"toshev,","1","10.441","False","#000000","False","paragraph"
"Abstract","1","15.554","False","#000000","True","heading"
"Deep Neural Networks (DNNs) have recently shown outstanding performance on","10","12.005","False","#000000","False","paragraph"
"image classiﬁcation tasks [14]. In this paper we go one step further and address","14","12.005","False","#000000","False","paragraph"
"the problem of object detection using DNNs, that is not only classifying but also","14","12.005","False","#000000","False","paragraph"
"precisely localizing objects of various classes. We present a simple and yet pow-","13","12.005","False","#000000","False","paragraph"
"erful formulation of object detection as a regression problem to object bounding","12","12.005","False","#000000","False","paragraph"
"box masks. We deﬁne a multi-scale inference procedure which is able to pro-","13","12.005","False","#000000","False","paragraph"
"duce high-resolution object detections at a low cost by a few network applications.","13","12.005","False","#000000","False","paragraph"
"State-of-the-art performance of the approach is shown on Pascal VOC.","10","12.005","False","#000000","False","paragraph"
"1 Introduction","2","15.554","False","#000000","True","heading"
"As we move towards more complete image understanding, having more precise and detailed object","14","12.005","False","#000000","False","paragraph"
"recognition becomes crucial. In this context, one cares not only about classifying images, but also","15","12.005","False","#000000","False","paragraph"
"about precisely estimating estimating the class and location of objects contained within the images,","14","12.005","False","#000000","False","paragraph"
"a problem known as object detection.","6","12.005","False","#000000","False","paragraph"
"The main advances in object detection were achieved thanks to improvements in object representa-","14","12.005","False","#000000","False","paragraph"
"tions and machine learning models. A prominent example of a state-of-the-art detection system is","14","12.005","False","#000000","False","paragraph"
"the Deformable Part-based Model (DPM) [9]. It builds on carefully designed representations and","13","12.005","False","#000000","False","paragraph"
"kinematically inspired part decompositions of objects, expressed as a graphical model. Using dis-","13","12.005","False","#000000","False","paragraph"
"criminative learning of graphical models allows for building high-precision part-based models for","12","12.005","False","#000000","False","paragraph"
"variety of object classes.","4","12.005","False","#000000","False","paragraph"
"Manually engineered representations in conjunction with shallow discriminatively trained models","10","12.005","False","#000000","False","paragraph"
"have been among the best performing paradigms for the related problem of object classiﬁcation","14","12.005","False","#000000","False","paragraph"
"as well [17]. In the last years, however, Deep Neural Networks (DNNs) [12] have emerged as a","17","12.005","False","#000000","False","paragraph"
"powerful machine learning model.","4","12.005","False","#000000","False","paragraph"
"DNNs exhibit major differences from traditional approaches for classiﬁcation. First, they are deep","13","12.005","False","#000000","False","paragraph"
"architectures which have the capacity to learn more complex models than shallow ones [2]. This","15","12.005","False","#000000","False","paragraph"
"expressivity and robust training algorithms allow for learning powerful object representations with-","12","12.005","False","#000000","False","paragraph"
"out the need to hand design features. This has been empirically demonstrated on the challenging","15","12.005","False","#000000","False","paragraph"
"ImageNet classiﬁcation task [5] across thousands of classes [14, 15].","10","12.005","False","#000000","False","paragraph"
"In this paper, we exploit the power of DNNs for the problem of object detection, where we not only","19","12.005","False","#000000","False","paragraph"
"classify but also try to precisely localize objects. The problem we are address here is challenging,","16","12.005","False","#000000","False","paragraph"
"since we want to detect a potentially large number object instances with varying sizes in the same","17","11.895","False","#000000","False","paragraph"
"image using a limited amount of computing resources.","8","12.005","False","#000000","False","paragraph"
"We present a formulation which is capable of predicting the bounding boxes of multiple objects in","16","12.005","False","#000000","False","paragraph"
"a given image. More precisely, we formulate a DNN-based regression which outputs a binary mask","15","12.005","False","#000000","False","paragraph"
"of the object bounding box (and portions of the box as well), as shown in Fig. 1. Additionally,","18","12.005","False","#000000","False","paragraph"
"we employ a simple bounding box inference to extract detections from the masks. To increase","15","12.005","False","#000000","False","paragraph"
"localization precision, we apply the DNN mask generation in a multi-scale fashion on the full image","16","12.005","False","#000000","False","paragraph"
"as well as on a small number of large image crops, followed by a reﬁnement step (see Fig. 2).","19","12.005","False","#000000","False","paragraph"
"1","1","12.005","False","#000000","True","paragraph"
"In this way, only through a few dozen DNN-regressions we can achieve state-of-art bounding box","15","12.005","False","#000000","False","paragraph"
"localization.","1","12.005","False","#000000","False","paragraph"
"In this paper, we demonstrate that DNN-based regression is capable of learning features which","14","12.005","False","#000000","False","paragraph"
"are not only good for classiﬁcation, but also capture strong geometric information. We use the","15","12.005","False","#000000","False","paragraph"
"general architecture introduced for classiﬁcation by [14] and replace the last layer with a regression","15","12.005","False","#000000","False","paragraph"
"layer. The somewhat surprising but powerful insight is that networks which to some extent encode","15","12.005","False","#000000","False","paragraph"
"translation invariance, can capture object locations as well.","8","12.005","False","#000000","False","paragraph"
