"line","word_count","font_size","is_bold","color","title_case","label"
"FOR PUBLICATION","2","16.608","True","#000000","True","heading"
"UNITED STATES COURT OF APPEALS","5","19.431","True","#000000","True","paragraph"
"FOR THE NINTH CIRCUIT","4","19.431","True","#000000","True","paragraph"
"HIQ LABS, INC.,","3","12.77","False","#000000","True","paragraph"
"Plaintiff-Appellee,","1","15.96","False","#000000","True","paragraph"
"v.","1","16.164","False","#000000","True","paragraph"
"L INKEDIN CORPORATION,","3","12.77","False","#000000","True","paragraph"
"Defendant-Appellant.","1","15.96","False","#000000","True","paragraph"
"No. 17-16783","2","16.164","False","#000000","True","paragraph"
"D.C. No.","2","16.164","False","#000000","True","paragraph"
"3:17-cv-03301-EMC","1","16.164","False","#000000","True","paragraph"
"OPINION","1","16.164","False","#000000","True","heading"
"Appeal from the United States District Court","7","16.164","False","#000000","True","paragraph"
"for the Northern District of California","6","16.164","False","#000000","True","paragraph"
"Edward M. Chen, District Judge, Presiding","6","16.164","False","#000000","True","paragraph"
"Argued and Submitted March 15, 2018","6","16.164","False","#000000","True","paragraph"
"San Francisco, California","3","16.164","False","#000000","True","paragraph"
"Filed September 9, 2019","4","16.164","False","#000000","True","paragraph"
"Before: J. Clifford Wallace and Marsha S. Berzon, Circuit","9","16.164","False","#000000","True","paragraph"
"Judges, and Terrence Berg,* District Judge.","6","16.164","False","#000000","True","paragraph"
"Opinion by Judge Berzon;","4","16.164","False","#000000","True","paragraph"
"Concurrence by Judge Wallace","4","16.164","False","#000000","True","paragraph"
"* The Honorable Terrence Berg, United States District Judge for the","11","13.416","False","#000000","True","paragraph"
"Eastern District of Michigan, sitting by designation.","7","13.416","False","#000000","False","paragraph"
"2 HIQ LABS V. LINKEDIN","5","12.77","False","#000000","True","paragraph"
"SUMMARY**","1","16.608","True","#000000","True","paragraph"
"Preliminary Injunction / Computer Fraud and","6","16.608","True","#000000","True","paragraph"
"Abuse Act","2","16.608","True","#000000","True","paragraph"
"The panel affirmed the district court’s preliminary","7","16.164","False","#000000","False","paragraph"
"injunction forbidding the professional networking website","6","16.164","False","#000000","False","paragraph"
"LinkedIn Corp. from denying plaintiff hiQ, a data analytics","9","16.164","False","#000000","False","paragraph"
"company, access to publicly available LinkedIn member","7","16.164","False","#000000","False","paragraph"
"profiles.","1","16.164","False","#000000","False","paragraph"
"Using automated bots, hiQ scrapes information that","7","16.164","False","#000000","False","paragraph"
"LinkedIn users have included on public LinkedIn profiles.","8","16.164","False","#000000","False","paragraph"
