"line","word_count","font_size","is_bold","color","title_case","label"
"ABSTRACT GUIDELINES:","2","11.256","True","#000000","True","paragraph"
"A bstracts must include sufficient information for reviewers to judge the nature and significance","14","10.356","False","#000000","False","paragraph"
"of the topic, the adequacy of the investigative strategy, the nature of the results, and the","16","10.356","False","#000000","False","paragraph"
"conclusions. The abstract should summarize the substantive results of the work and not merely","14","10.356","False","#000000","False","paragraph"
"list topics to be discussed.","5","10.356","False","#000000","False","paragraph"
"A n abstract is an outline/brief summary of your paper and your whole project. It should have an","18","10.356","False","#000000","False","paragraph"
"intro, body and conclusion. It is a well-developed paragraph, should be","11","10.356","False","#000000","False","paragraph"
"exact in wording, and must be understandable to a wide audience. Abstracts should be no more","16","10.356","False","#000000","False","paragraph"
"than 250 words, formatted in Microsoft Word, and single-spaced, using size 12 Times New","14","10.356","False","#000000","False","paragraph"
"Roman font.","2","10.356","False","#000000","False","paragraph"
"A bstracts highlight major points of your research and explain why your work is important; what","16","10.356","False","#000000","False","paragraph"
"your purpose was, how you went about your project, what you learned, and what you","15","10.356","False","#000000","False","paragraph"
"concluded.","1","10.356","False","#000000","False","paragraph"
"I f your title includes scientific notation, Greek letters, bold, italics, or other special","14","10.356","False","#000000","False","paragraph"
"characters/symbols, do make sure they appear correctly.","7","10.356","False","#000000","False","paragraph"
"L ist all additional undergraduate co-authors, whether they are or are not presenting, if","14","10.356","False","#000000","False","paragraph"
"applicable.","1","10.356","False","#000000","False","paragraph"
"L ist additional faculty mentors, if applicable.","7","10.356","False","#000000","False","paragraph"
"S IX SAMPLE ABSTRACTS (Previous Participants)","6","11.256","True","#000000","False","paragraph"
"G RADUATE LEVEL","3","10.356","True","#000000","True","paragraph"
"R esearcher: Rita Asgeirsson","4","10.716","False","#000000","False","paragraph"
"P resentation Title: An Analysis of Yukon Delta Salmon Management","10","10.908","False","#000000","False","paragraph"
"Research focus: Fisheries management related to Bering Sea fisheries and Yukon River salmon","13","10.908","False","#000000","False","paragraph"
"populations.","1","10.908","False","#000000","False","paragraph"
"School: Western Washington University","4","10.908","False","#000000","True","paragraph"
"Student Level: Masters","3","10.716","False","#000000","True","paragraph"
"Presentation Type: Oral Presentation","4","10.716","False","#000000","True","paragraph"
"A bstract:","2","10.716","True","#000000","False","paragraph"
"A n Analysis of Yukon Delta Salmon Management","8","10.908","False","#000000","True","paragraph"
"Rita Asgeirsson, Western Washington University","5","10.908","False","#000000","True","paragraph"
"T he broad range of Pacific Alaskan salmon has resulted in the creation of a complex and multi-","18","10.908","False","#000000","False","paragraph"
"organizational system of management that includes the state of Alaska, various federal","12","10.908","False","#000000","False","paragraph"
"departments, a Congressionally-mandated fishery council, and a number of commercial and non-","12","10.908","False","#000000","False","paragraph"
"governmental fish organizations. In the Bering Sea salmon are caught by the commercial","13","10.908","False","#000000","False","paragraph"
"groundfish fleet as by-catch. On the Yukon River salmon are commercially and traditionally","13","10.908","False","#000000","False","paragraph"
"harvested for both economic and cultural sustenance by the Yup’ik residents of the Yukon Delta.","15","10.908","False","#000000","False","paragraph"
"Declining salmon populations has driven scientific research which considers the effects of","12","10.908","False","#000000","False","paragraph"
"Bering Sea salmon by-catch.","4","10.908","False","#000000","False","paragraph"
"M y research findings indicate that Bering Sea fisheries occur where juvenile salmon mature,","14","10.908","False","#000000","False","paragraph"
"directly impacting Yukon River salmon populations. Further, the research reflects that although","12","10.908","False","#000000","False","paragraph"
"Yukon salmon populations have plummeted, a recent effort was made to open the northern","14","10.908","False","#000000","False","paragraph"
"Bering Sea, which includes the Yukon River coastal shelf, to deep-sea commercial fishing.","13","10.908","False","#000000","False","paragraph"
"B y researching the relationship of policy to cultural salmon dependence, it becomes evident that","15","10.908","False","#000000","False","paragraph"
"Alaskan salmon-tribes are excluded from salmon management and decision-making. Legal","10","10.908","False","#000000","False","paragraph"
"research reflects that three basic federal Indian concepts – inherent rights, Indian Country, and","14","10.908","False","#000000","False","paragraph"
"tribal right of occupancy – emerge as potential foundations that may allow Alaskan salmon-","14","10.908","False","#000000","False","paragraph"
"tribes to begin sharing legal responsibility over salmon.","8","10.908","False","#000000","False","paragraph"
"Y ukon River salmon are an international and anadromous species that require multi-","13","10.908","False","#000000","False","paragraph"
"organizational management. My research reflects that current management favors the Bering","11","10.908","False","#000000","False","paragraph"
"Sea commercial fishing industry, despite data indicating Bering Sea fisheries impact Yukon","12","10.908","False","#000000","False","paragraph"
"salmon populations and an overall downward trend in Yukon salmon populations.","11","10.908","False","#000000","False","paragraph"
"* *********","2","10.716","True","#000000","False","paragraph"
"Researcher: Alexandrea Bowman","3","10.92","False","#000000","True","paragraph"
"Presentation Title: Using GIS Site Suitability Analysis to Study Adaptability and Evolution of","13","10.908","False","#000000","True","paragraph"
"Life: Locating Springs in Mantle Units of Ophiolites","8","10.908","False","#000000","True","paragraph"
"Research focus: BioGeoChemistry and Computer modelling","6","10.908","False","#000000","False","paragraph"
"School: University of Rhode Island","5","10.908","False","#000000","True","paragraph"
"Student Level: Masters","3","10.716","False","#000000","True","paragraph"
"Presentation Type: Poster Presentation","4","10.716","False","#000000","True","paragraph"
"Abstract:","1","10.716","True","#000000","True","heading"
"Using GIS Site Suitability Analysis to Study Adaptability and Evolution of Life: Locating","13","10.908","False","#000000","True","paragraph"
"Springs in Mantle Units of Ophiolites","6","10.908","False","#000000","True","paragraph"
"Alexandrea Bowman, University of Rhode Island","6","10.908","False","#000000","True","paragraph"
"GIS is a powerful tool that can be used to locate springs sourced in ophiolites. The unique","17","10.908","False","#000000","False","paragraph"
"features associated with these springs include a reducing subsurface environment reacting at low","13","10.908","False","#000000","False","paragraph"
"temperatures producing high pH, Ca-rich formation fluids with high dissolved hydrogen and","12","10.908","False","#000000","False","paragraph"
"methane. Because of their unique chemical characteristics, these areas are often associated with","13","10.908","False","#000000","False","paragraph"
"microbes and are thought to be similar to the features that enabled life to evolve on Earth.","17","10.908","False","#000000","False","paragraph"
"Locating and sampling these springs could offer a deeper look into Earth's deep biosphere and","15","10.908","False","#000000","False","paragraph"
"the history of life on Earth. Springs have tradiitionally been located using expensive and time","15","10.908","False","#000000","False","paragraph"
"consuming field techniques. Field work can be dangerous. The goal of this study was to develop","16","10.908","False","#000000","False","paragraph"
"a model that could locate these unique geological features without first going into the field, thus","16","10.908","False","#000000","False","paragraph"
"saving time, money and reducing the risks associated with remote field localities. A GIS site","15","10.908","False","#000000","False","paragraph"
"suitability analysis works by overlaying existing geo-referenced data into a computer program","12","10.908","False","#000000","False","paragraph"
"and adding the different data sets after assigning a numerical value to the important fields. For","16","10.908","False","#000000","False","paragraph"
"this project, I used surface and ground water maps, geologic maps, a soil map, and a fault map","18","10.908","False","#000000","False","paragraph"
"for four counties in Northern California. The model has demonstrated that it is possible to use","16","10.908","False","#000000","False","paragraph"
"this time of model and apply it to a complex geologic area to produce a usable field map for","19","10.908","False","#000000","False","paragraph"
"future field work.","3","10.908","False","#000000","False","paragraph"
"UNDERGRADUATE LEVEL","2","10.356","True","#000000","True","heading"
"R esearcher: Deneen Cole","4","10.716","False","#000000","False","paragraph"
"Presentation Title: Characterization of Iron Deposition in Recombinant Heteropolymer Ferritins","10","10.908","False","#000000","True","paragraph"
"Research Focus: Chemistry","3","10.716","False","#000000","True","paragraph"
"School: SUNY Potsdam","3","10.908","False","#000000","True","paragraph"
