"line","word_count","font_size","is_bold","color","title_case","label"
"Business Travel Assistance","3","39.205","True","#000000","True","heading"
"24/7 emergency","2","54.063","True","#000000","False","heading"
"support","1","54.063","True","#000000","False","heading"
"+33 (0)1 55","3","54.063","True","#000000","True","heading"
"during travel","2","54.063","True","#000000","False","heading"
"92 21 89","3","54.063","True","#000000","True","heading"
"Membership n° 080.1381","3","25.746","False","#000000","True","paragraph"
"to communicate when you call","5","25.746","False","#000000","False","paragraph"
"Employee Coverage Benefits","3","32.671","True","#000000","True","heading"
"Services by AXA Assistance","4","22.943","False","#000000","True","paragraph"
"24/7 medical, security or safety assistance","6","23.188","False","#000000","False","paragraph"
"■","1","7.254","False","#000000","True","paragraph"
"Medical expenses, with or without hospitalization","6","23.188","False","#000000","False","paragraph"
"■","1","7.254","False","#000000","True","paragraph"
"Travel incident: delays, deterioration or loss of luggage, the(, etc.","10","23.188","False","#000000","False","paragraph"
"■","1","7.254","False","#000000","True","paragraph"
"Personal liability abroad","3","23.188","False","#000000","False","paragraph"
"■","1","7.254","False","#000000","True","paragraph"
"For more information on Travel Security, please contact:","8","23.188","False","#000000","False","paragraph"
"physical.security@axa.com","1","22.258","True","#000000","False","paragraph"
