"line","word_count","font_size","is_bold","color","title_case","label"
"ULSTER BANK BLACK MASTERCARD - DRAFT BENEFIT SCHEDULE","8","19.488","True","#000080","True","heading"
"1","1","11.979","False","#000000","True","paragraph"
"CONTENTS","1","13.968","True","#000000","True","heading"
"CONTENTS ......................................................................................... 2","3","10.621","False","#000000","False","paragraph"
"INTRODUCTION ................................................................................. 2","3","10.621","False","#000000","False","paragraph"
"IMPORTANT INFORMATION ............................................................. 2","4","10.621","False","#000000","False","paragraph"
"DEFINITIONS ...................................................................................... 3","3","10.621","False","#000000","False","paragraph"
"EMERGENCY ASSISTANCE ............................................................. 4","4","10.621","False","#000000","False","paragraph"
"RECIPROCAL HEALTH AGREEMENTS ........................................... 4","5","10.621","False","#000000","False","paragraph"
"GENERAL CONDITIONS ................................................................... 5","4","10.621","False","#000000","False","paragraph"
"GENERAL EXCLUSIONS ................................................................... 5","4","10.621","False","#000000","False","paragraph"
"SPORTS AND ACTIVITIES ................................................................ 6","5","10.621","False","#000000","False","paragraph"
"BENEFIT SCHEDULE......................................................................... 6","3","10.621","False","#000000","True","paragraph"
"SECTION A – TRAVEL ADVICE ........................................................ 6","7","10.621","False","#000000","False","paragraph"
"SECTION B – TRAVEL ASSISTANCE ............................................... 7","7","10.621","False","#000000","False","paragraph"
"SECTION C – CANCELLATION OR CURTAILMENT CHARGES ..... 7","9","10.621","False","#000000","False","paragraph"
"SECTION D - MISSED DEPARTURE/ MISSED CONNECTION ....... 7","9","10.621","False","#000000","False","paragraph"
"SECTION E – DELAYED DEPARTURE/ ABANDONMENT ............... 8","8","10.621","False","#000000","False","paragraph"
"SECTION F – INVOLUNTARY DENIAL OF BOARDING ................... 8","9","10.621","False","#000000","False","paragraph"
"SECTION G – BAGGAGE DELAY AND EXTENDED BAGGAGE","8","10.621","False","#000000","True","paragraph"
"DELAY ................................................................................................. 8","3","10.621","False","#000000","False","paragraph"
"SECTION H – EMERGENCY MEDICAL AND OTHER EXPENSES","8","10.621","False","#000000","True","paragraph"
"ABROAD ............................................................................................. 9","3","10.621","False","#000000","False","paragraph"
"SECTION I - HOSPITAL BENEFIT ................................................... 10","7","10.621","False","#000000","False","paragraph"
"SECTION J – PERSONAL BELONGINGS AND PERSONAL","7","10.621","False","#000000","True","paragraph"
"MONEY ............................................................................................. 10","3","10.621","False","#000000","False","paragraph"
"SECTION K - TRAVEL ACCIDENT .................................................. 11","7","10.621","False","#000000","False","paragraph"
"SECTION L - PERSONAL LIABILITY ............................................... 11","7","10.621","False","#000000","False","paragraph"
"SECTION M – WINTER SPORTS COVER ...................................... 11","8","10.621","False","#000000","False","paragraph"
"SECTION N – RENTAL CAR COLLISION DAMAGE WAIVER ........ 12","10","10.621","False","#000000","False","paragraph"
"SECTION O – LOCK AND KEY ........................................................ 13","8","10.621","False","#000000","False","paragraph"
"SECTION P – TICKET CANCELLATION ......................................... 13","7","10.621","False","#000000","False","paragraph"
"SECTION Q – THEFT OF HANDBAG AND/OR WALLET IN","9","10.621","False","#000000","True","paragraph"
"EXPLAINABLE CIRCUMSTANCES ................................................. 14","4","10.621","False","#000000","False","paragraph"
"SECTION R – ATM ASSAULT .......................................................... 14","7","10.621","False","#000000","False","paragraph"
"SECTION S – EXTENDED WARRANTY .......................................... 14","7","10.621","False","#000000","False","paragraph"
