"line","word_count","font_size","is_bold","color","title_case","label"
"Všeobecné pojistné podmínky 0518","4","18.06","False","#000000","False","heading"
"Úvodní ustanovení","2","8.428","False","#000000","False","heading"
"Pro pojištění, které sjednává AXA životní pojišťovna a.s., platí příslušná ustanovení","11","8.393","False","#000000","False","paragraph"
"zákona č. 89/2012 Sb., občanský zákoník, v platném znění, tyto Všeobecné","11","8.393","False","#000000","False","paragraph"
"pojistné podmínky, Zvláštní pojistné podmínky podle sjednaného tarifu, Oceňovací","9","8.393","False","#000000","False","paragraph"
"tabulky, Obchodní podmínky (dále také jen „pojistné podmínky“) a ujednání pojistné","11","8.393","False","#000000","False","paragraph"
"smlouvy. Pojistné podmínky jsou nedílnou součástí pojistné smlouvy (dále také jen","11","8.393","False","#000000","False","paragraph"
"„smlouva"" či „pojistná smlouva“).","4","8.393","False","#000000","False","paragraph"
"Oddíl 1.","2","13.244","False","#000000","True","heading"
"Obecná část","2","13.244","False","#000000","True","heading"
"Článek 1.1.","2","8.428","False","#000000","False","heading"
"Vymezení pojmů","2","8.428","False","#000000","False","heading"
"Pro účely těchto pojistných podmínek mají následující pojmy uvedený význam:","10","8.393","False","#000000","False","paragraph"
"pojistitel – AXA životní pojišťovna a.s., IČ: 61859524, se sídlem Lazarská 13/8,","12","8.393","False","#000000","False","paragraph"
"120 00 Praha 2, Česká republika, kontaktní adresa – AXA životní pojišťovna a.s.,","13","8.393","False","#000000","False","paragraph"
"Úzká 488/8, 602 00 Brno, Česká republika,","7","8.393","False","#000000","False","paragraph"
"zájemce o pojištění – osoba, která má zájem o uzavření pojistné smlouvy","12","8.393","False","#000000","False","paragraph"
"s pojistitelem,","2","8.393","False","#000000","False","paragraph"
"pojistník – osoba, která s pojistitelem uzavřela pojistnou smlouvu,","9","8.393","False","#000000","False","paragraph"
"pojištěný – osoba, na jejíž život, zdraví nebo jinou hodnotu pojistného zájmu se","13","8.393","False","#000000","False","paragraph"
"pojištění vztahuje,","2","8.393","False","#000000","False","paragraph"
"obmyšlený – osoba určená pojistníkem v pojistné smlouvě jménem nebo","10","8.393","False","#000000","False","paragraph"
"vztahem k pojištěnému, které vznikne právo na pojistné plnění v případě smrti","12","8.393","False","#000000","False","paragraph"
"pojištěného,","1","8.393","False","#000000","False","paragraph"
"oprávněná osoba – osoba, které v důsledku pojistné události vznikne právo na","12","8.393","False","#000000","False","paragraph"
"pojistné plnění,","2","8.393","False","#000000","False","paragraph"
"jiná příslušná osoba – osoba mající právní zájem na výplatě pojistného plnění","12","8.393","False","#000000","False","paragraph"
"(např. dědic, zástavní věřitel, postupník),","5","8.393","False","#000000","False","paragraph"
"účastník pojištění – pojistitel a pojistník jakožto smluvní strany a dále pojištěný","12","8.393","False","#000000","False","paragraph"
"a každá další osoba, které z pojištění vzniklo právo nebo povinnost,","11","8.393","False","#000000","False","paragraph"
"věk pojištěného – technický věk, který se stanoví rozdílem kalendářního roku","11","8.393","False","#000000","False","paragraph"
"počátku pojistného roku a kalendářního roku narození pojištěného, pokud není","10","8.393","False","#000000","False","paragraph"
"uvedeno jinak,","2","8.393","False","#000000","False","paragraph"
"výstupní věk – maximální věk, po jehož dosažení už nemůže být pojištěný","12","8.393","False","#000000","False","paragraph"
"pojištěn pro daný tarif; výstupní věky pro jednotlivé tarify jsou uvedeny v návrhu","13","8.393","False","#000000","False","paragraph"
"pojistné smlouvy,","2","8.393","False","#000000","False","paragraph"
"pojistná doba – doba, na kterou bylo pojištění sjednáno; pojistná doba je","12","8.393","False","#000000","False","paragraph"
"vyjádřena v letech od počátku pojištění nebo dnem počátku a konce pojištění;","12","8.393","False","#000000","False","paragraph"
"pojistná doba začíná dnem počátku pojištění a končí dnem určeným jako konec","12","8.393","False","#000000","False","paragraph"
"pojištění nebo uplynutím příslušného počtu let pojistné doby, přičemž v takovém","11","8.393","False","#000000","False","paragraph"
"případě je konec pojištění den, který předchází dni, který se pojmenováním nebo","12","8.393","False","#000000","False","paragraph"
"číslem shoduje se dnem, na který připadá počátek pojištění (není-li takový den","12","8.393","False","#000000","False","paragraph"
"v měsíci, připadne konec lhůty na jeho poslední den),","9","8.393","False","#000000","False","paragraph"
"pojistné období – pravidelně se opakující časové období dohodnuté v pojistné","11","8.393","False","#000000","False","paragraph"
"smlouvě, za které se platí běžné pojistné, a které je vyjádřeno také pojmem","13","8.393","False","#000000","False","paragraph"
"„frekvence placení“; první pojistné období počíná dnem počátku pojištění;","9","8.393","False","#000000","False","paragraph"
"pojistné období končí dnem, který předchází dni, který se pojmenováním nebo","11","8.393","False","#000000","False","paragraph"
"číslem shoduje se dnem, na který připadá počátek pojistného období (není-li","11","8.393","False","#000000","False","paragraph"
"takový den v měsíci, připadne konec lhůty na jeho poslední den),","11","8.393","False","#000000","False","paragraph"
"pojistný rok – období 12 po sobě jdoucích kalendářních měsíců začínající dnem","12","8.393","False","#000000","False","paragraph"
"počátku pojištění nebo dnem výročí pojistné smlouvy, na která se dělí pojistná","12","8.393","False","#000000","False","paragraph"
"doba,","1","8.393","False","#000000","False","paragraph"
"výročí pojistné smlouvy – den pojistné doby, který se datem (dnem a měsícem)","13","8.393","False","#000000","False","paragraph"
"shoduje se dnem počátku pojištění; není-li takový den v měsíci, připadne výročí","12","8.393","False","#000000","False","paragraph"
"pojistné smlouvy na poslední den tohoto měsíce,","7","8.393","False","#000000","False","paragraph"
"pojistná částka – částka sjednaná v pojistné smlouvě pro účely stanovení výše","12","8.393","False","#000000","False","paragraph"
"pojistného plnění,","2","8.393","False","#000000","False","paragraph"
"tarif – pojištění nebo připojištění uvedené ve Zvláštních pojistných podmínkách,","10","8.393","False","#000000","False","paragraph"
"pojištění – tarif, který je ve Zvláštních pojistných podmínkách označen jako","11","8.393","False","#000000","False","paragraph"
"„pojištění“; pojem „pojištění“ je současně používán jako výraz pro pojistnou","10","8.393","False","#000000","False","paragraph"
"smlouvu, vyplývá-li to z uvedeného textu,","6","8.393","False","#000000","False","paragraph"
"hlavní pojištění – tarif, který je označen v návrhu pojistné smlouvy jako ""hlavní","13","8.393","False","#000000","False","paragraph"
"pojištění"",","1","8.393","False","#000000","False","paragraph"
"připojištění – tarif, který je ve Zvláštních pojistných podmínkách označen jako","11","8.393","False","#000000","False","paragraph"
"„připojištění“,","1","8.393","False","#000000","False","paragraph"
"odkupné – část z nespotřebovaného pojistného, které pojistitel ukládá jako","10","8.393","False","#000000","False","paragraph"
"technickou rezervu vypočtenou pojistně matematickými metodami k datu zániku","9","8.393","False","#000000","False","paragraph"
"pojištění,","1","8.393","False","#000000","False","paragraph"
"návrh pojistné smlouvy – dostatečně určitá nabídka, kterou pojistitel podává","10","8.393","False","#000000","False","paragraph"
"zájemci o pojištění s úmyslem uzavřít s ním pojistnou smlouvu (dále také jen","13","8.393","False","#000000","False","paragraph"
"„návrh“),","1","8.393","False","#000000","False","paragraph"
"pojistka – potvrzení o uzavření pojistné smlouvy vystavené pojistitelem","9","8.393","False","#000000","False","paragraph"
"pojistníkovi,","1","8.393","False","#000000","False","paragraph"
"pojistné nebezpečí – možná příčina vzniku pojistné události, která je jako","11","8.393","False","#000000","False","paragraph"
"pojistná událost blíže označená u jednotlivého pojištění v pojistných podmínkách","10","8.393","False","#000000","False","paragraph"
"nebo v pojistné smlouvě, pokud není stanoveno jinak,","8","8.393","False","#000000","False","paragraph"
"pojistné riziko – míra pravděpodobnosti vzniku pojistné události vyvolané","9","8.393","False","#000000","False","paragraph"
