"line","word_count","font_size","is_bold","color","title_case","label"
"Pokyny pro platby pojistného","4","24.66","False","#000000","False","paragraph"
"První pojistné můžete uhradit poštovní poukázkou nebo převodem z vašeho bankovního účtu, např. prostřednictvím internetbankingu.","15","10.791","False","#000000","False","paragraph"
"Nejpohodlnějším způsobem úhrady pojistného je trvalý příkaz k úhradě.","9","10.836","False","#000000","False","heading"
"Název banky:","2","10.791","False","#000000","False","paragraph"
"UniCredit Bank Czech Republic and Slovakia, a.s.","7","10.836","False","#000000","True","paragraph"
"Název a adresa","3","10.791","False","#000000","False","paragraph"
"AXA životní pojišťovna a.s.,","4","10.836","False","#000000","False","paragraph"
"účtu adresáta:","2","10.791","False","#000000","False","paragraph"
"Lazarská 13/8, 120 00 Praha 2","6","10.836","False","#000000","True","paragraph"
"Informace k platbě běžného pojistného převodem z účtu","8","14.448","False","#000000","False","heading"
"Číslo účtu pro platbu pojistníka: 270 270 270 / 2700","10","10.791","False","#000000","False","paragraph"
"Číslo účtu pro platbu zaměstnavatele: 27 27 27 / 2700","10","10.791","False","#000000","False","paragraph"
"Konstantní symbol: 3558","3","10.791","False","#000000","False","paragraph"
"Variabilní symbol:","2","10.791","False","#000000","False","paragraph"
"číslo návrhu pojistné smlouvy (do vystavení pojistky)","7","10.836","False","#000000","False","paragraph"
"číslo smlouvy (po vystavení pojistky)","5","10.836","False","#000000","False","paragraph"
"Chcete uhradit mimořádné pojistné?","4","14.448","False","#000000","False","heading"
"Číslo účtu pro platbu pojistníka: 27 27 00 / 2700","10","10.791","False","#000000","False","paragraph"
"Číslo účtu pro platbu zaměstnavatele: 27 27 19 / 2700","10","10.791","False","#000000","False","paragraph"
"Konstantní symbol: 3558","3","10.791","False","#000000","False","paragraph"
"Variabilní symbol:","2","10.791","False","#000000","False","paragraph"
"číslo pojistné smlouvy","3","10.836","False","#000000","False","paragraph"
"Specifický symbol: viz Obchodní podmínky","5","10.836","False","#000000","False","paragraph"
"Specifický symbol určuje cílový fond, do kterého bude mimořádné pojistné alokováno.","11","10.791","False","#000000","False","paragraph"
"V případě neuvedení specifického symbolu bude mimořádné pojistné alokováno do fondu","11","10.791","False","#000000","False","paragraph"
"zvoleného pro běžné pojistné.","4","9.592","False","#000000","False","paragraph"
"Nezapomeňte","1","14.448","False","#000000","True","heading"
"Při vyplňování nezapomeňte uvést variabilní symbol","6","10.791","False","#000000","False","paragraph"
"Variabilní symbol do vystavení pojistky = číslo návrhu pojistné smlouvy","10","10.791","False","#000000","False","paragraph"
"Variabilní symbol po vystavení pojistky = číslo smlouvy uvedené v pojistce","11","10.791","False","#000000","False","paragraph"
"Měsíční","1","2.65","False","#000000","True","paragraph"
"sazby","1","4.73","False","#000000","False","paragraph"
"pojistného","1","5.35","False","#000000","False","paragraph"
"připojištění,","1","2.65","False","#000000","False","paragraph"
"při","1","5.39","False","#000000","True","paragraph"
"kterých","1","5.43","False","#000000","False","paragraph"
"se","1","4.73","False","#000000","True","paragraph"
"každý","1","5.43","False","#000000","False","paragraph"
"pojistný","1","5.39","False","#000000","False","paragraph"
"rok","1","3.47","False","#000000","True","paragraph"
"mění","1","8.24","False","#000000","True","paragraph"
"sazba","1","5.41","False","#000000","False","paragraph"
"Strana","1","3.703","False","#000000","True","paragraph"
"33","1","4.109","False","#000000","True","paragraph"
