"line","word_count","font_size","is_bold","color","title_case","label"
"Single-Item Questions","2","12","True","#000000","True","heading"
"USMLE STEP 1 TEST QUESTION FORMATS","6","12","True","#000000","True","heading"
"A single patient-centered vignette is associated with one question followed by four or more response options.","16","12","False","#000000","False","paragraph"
"The response options are lettered (A, B, C, D, E). A portion of the questions require interpretation of graphic","19","12","False","#000000","False","paragraph"
"or pictorial materials. You are required to select the best answer to the question. Other options may be","18","12","False","#000000","False","paragraph"
"partially correct, but there is only ONE BEST answer. This is the traditional, most frequently used multiple-","17","12","False","#000000","False","paragraph"
"choice question format on the examination.","6","12","False","#000000","False","paragraph"
"S trategies for Answering Single One-Best-Answer Test Questions","8","12","True","#000000","False","paragraph"
"T he following are strategies for answering one-best-answer items:","9","12","False","#000000","False","paragraph"
"Read each patient vignette and question carefully. It is important to understand what is being asked.","16","12","False","#000000","False","paragraph"
"Try to generate an answer and then look for it in the response option list.","15","12","False","#000000","False","paragraph"
"Alternatively, read each response option carefully, eliminating those that are clearly incorrect.","12","12","False","#000000","False","paragraph"
"Of the remaining options, select the one that is most correct.","11","12","False","#000000","False","paragraph"
"If unsure about an answer, it is better to guess since unanswered questions are automatically counted","16","12","False","#000000","False","paragraph"
"as wrong answers.","3","12","False","#000000","False","paragraph"
"Example Item","2","12","True","#000000","True","heading"
"A 32-year-old woman with type 1 diabetes mellitus has had progressive renal failure over the past 2 years. She","19","12","False","#000000","False","paragraph"
"has not yet started dialysis. Examination shows no abnormalities. Her hemoglobin concentration is 9 g/dL,","15","12","False","#000000","False","paragraph"
"hematocrit is 28%, and mean corpuscular volume is 94 μm3. A blood smear shows normochromic, normocytic","16","12","False","#000000","False","paragraph"
"cells. Which of the following is the most likely cause?","10","12","False","#000000","False","paragraph"
"( A) Acute blood loss","5","12","False","#000000","False","paragraph"
"(B) Chronic lymphocytic leukemia","4","12","False","#000000","False","paragraph"
"(C) Erythrocyte enzyme deficiency","4","12","False","#000000","False","paragraph"
"(D) Erythropoietin deficiency","3","12","False","#000000","False","paragraph"
"(E) Immunohemolysis","2","12","False","#000000","True","paragraph"
"( Answer: D)","3","12","False","#000000","True","paragraph"
"(F) Microangiopathic hemolysis","3","12","False","#000000","False","paragraph"
"(G) Polycythemia vera","3","12","False","#000000","True","paragraph"
"(H) Sickle cell disease","4","12","False","#000000","False","paragraph"
"(I) Sideroblastic anemia","3","12","False","#000000","False","paragraph"
"(J) β-Thalassemia trait","3","12","False","#000000","False","paragraph"
"NOTE: Some item types that appear on the Step 1 examination are NOT depicted in the sample items provided","19","12","False","#000000","False","paragraph"
"in this booklet, eg, items with multimedia features, such as audio. Also, when additional item formats are","17","12","False","#000000","False","paragraph"
"added to the exam, notice will be provided at the USMLE website: http://www.usmle.org. You must monitor","16","12","False","#000000","False","paragraph"
"the website to stay informed about the types of items that occur in the exam, and you must practice with the","21","12","False","#000000","False","paragraph"
"downloadable sample test items available on the USMLE website to be fully prepared for the examination.","16","12","False","#000000","False","paragraph"
"3","1","12","True","#000000","True","paragraph"
