"line","word_count","font_size","is_bold","color","title_case","label"
"Chapter 14","2","16.142","True","#101216","True","heading"
"Virtual Doppelgangers: Psychological Effects","4","18.448","True","#101216","True","paragraph"
"of Avatars Who Ignore Their Owners","6","18.448","True","#101216","True","paragraph"
"Jeremy N. Bailenson and Kathryn Y. Segovia","7","11.53","True","#101216","True","heading"
"Imagine a world where multiple versions of yourself exist. These other versions","12","11.16","False","#101216","False","paragraph"
"of you may look like you but need not behave like you. Famous authors and","15","11.16","False","#101216","False","paragraph"
"screenwriters have depicted this type of scenario multiple times in movies and","12","11.16","False","#101216","False","paragraph"
"literary works. For example, in the film Being John Malkovich, the actor","12","11.16","False","#101216","False","paragraph"
"Malkovich wakes up in a restaurant and looks across the table (Jonze 1999).","13","11.16","False","#101216","False","paragraph"
"There is a woman wearing a revealing evening dress, but as his gaze pans up, he","16","11.16","False","#101216","False","paragraph"
"is stunned to see his own head on top of the voluptuous female form. Seconds","15","11.16","False","#101216","False","paragraph"
"later, a waiter walks by and is also wearing his head. His psychological response","14","11.16","False","#101216","False","paragraph"
"is predictably dire, and the terror only increases as he pans across the room and","15","11.16","False","#101216","False","paragraph"
"realizes that every single person in the restaurant, ranging from jazz singers to","13","11.16","False","#101216","False","paragraph"
"midgets, is wearing his head. He is literally trapped in a room full of identical","15","11.16","False","#101216","False","paragraph"
"twins behaving independently of his own intentions and actions. In Edgar Allan","12","11.16","False","#101216","False","paragraph"
"Poe’s William Wilson, the main character William meets another boy who shares","12","11.16","False","#101216","False","paragraph"
"his name (Poe 1839). Throughout the story, William’s double changes to act and","13","11.16","False","#101216","False","paragraph"
"look more like William. William grows frustrated with his double who is con-","13","11.16","False","#101216","False","paragraph"
"stantly mimicking him and giving him unsolicited advice and eventually stabs his","12","11.16","False","#101216","False","paragraph"
"double to death. Additionally, in a powerful scene in William Gibson’s","11","11.16","False","#101216","False","paragraph"
"Neuromancer (1984), one of the main characters, Riviera, forces a character","11","11.16","False","#101216","False","paragraph"
"named Molly to witness a hologram of herself perform a number of unspeakable","13","11.16","False","#101216","False","paragraph"
"acts. Molly’s physical self observes the interaction, but she cannot control the","12","11.16","False","#101216","False","paragraph"
"actions of the other version of herself.","7","11.16","False","#101216","False","paragraph"
"The above scenarios may seem like situations that would only be possible in","13","11.16","False","#101216","False","paragraph"
"science fiction, but if we take a close look at today’s digital media, we find that","16","11.16","False","#101216","False","paragraph"
"virtual versions of ourselves exist in many different places.","9","11.16","False","#101216","False","paragraph"
"J.N. Bailenson and K.Y. Segovia","5","9.486","False","#101216","True","paragraph"
"Stanford University","2","9.486","False","#101216","True","paragraph"
"e-mails: bailenson@gmail.com; kathrynyr@gmail.com","3","9.486","False","#101216","False","paragraph"
"W.S. Bainbridge (ed.), Online Worlds: Convergence of the Real and the Virtual, 175","13","9.35","False","#101216","False","paragraph"
"Human-Computer Interaction Series, DOI 10.1007/978-1-84882-825-4_14,","5","9.486","False","#101216","True","paragraph"
"© Springer-Verlag London Limited 2010","5","9.486","False","#101216","True","paragraph"
"176","1","9.486","False","#101216","True","paragraph"
"Doppelgangers","1","13.836","True","#101216","True","heading"
"J.N. Bailenson and K.Y. Segovia","5","9.486","False","#101216","True","paragraph"
"Doppelganger is the term that we will use throughout this chapter to refer to virtual","15","11.16","False","#101216","False","paragraph"
"versions of the self. Doppelganger is derived from the German language and is defined","14","11.16","False","#101216","False","paragraph"
"as any double or look-alike of a person. Throughout history, several famous individuals","13","11.16","False","#101216","False","paragraph"
"have reported seeing their doppelganger. For example, in 1860 as the U.S. presidential","13","11.16","False","#101216","False","paragraph"
"election results were rolling in, Abraham Lincoln reported seeing two versions of him-","13","11.16","False","#101216","False","paragraph"
"self in the reflection of a long piece of glass – one version’s face much paler than the","18","11.16","False","#101216","False","paragraph"
"other. After sharing this encounter with his wife, she supposedly predicted that the","13","11.16","False","#101216","False","paragraph"
"image of the doppelganger signified that Abraham would be elected to a second term","14","11.16","False","#101216","False","paragraph"
