"line","word_count","font_size","is_bold","color","title_case","label"
"Bharti AXA General Insurance","4","11.313","False","#000000","True","paragraph"
"Company Limited","2","11.313","False","#000000","True","paragraph"
"( 080-49123900","2","8.88","False","#000000","True","paragraph"
": customer.service@bharti-axagi.co.in","2","8.88","False","#000000","False","paragraph"
"Smart DriveDrive - Two Wheeler","5","23.62","False","#000000","True","paragraph"
"- Policy Wordings","3","23.62","True","#000000","True","paragraph"
"Insurance","1","23.62","True","#000000","True","paragraph"
"È SMS <SERVICE> to 5667700","5","9.637","False","#000000","False","paragraph"
": www.bharti-axagi.co.in","2","8.88","False","#000000","False","paragraph"
"Policy","1","23.62","True","#000000","True","paragraph"
"Whereas the Insured by a proposal and declaration dated as stated in the","13","10.28","False","#000000","False","paragraph"
"Schedule which shall be the basis of this contract and is deemed to be","14","10.28","False","#000000","False","paragraph"
"incorporated herein has applied to Bharti AXA General Insurance Co. Ltd.","11","10.28","False","#000000","False","paragraph"
"(hereinafter referred to as “the Company”) for insurance hereinafter contained","10","10.28","False","#000000","False","paragraph"
"and has paid the premium mentioned in the schedule as consideration for such","13","10.28","False","#000000","False","paragraph"
"insurance in respect of accident loss or damage occurring during the Period of","13","10.28","False","#000000","False","paragraph"
"Insurance.","1","10.28","False","#000000","True","paragraph"
"(The term two wheeler referred to in this Tariff will include motor","12","10.28","False","#000000","False","paragraph"
"cycle/scooter/auto cycle or any other motorized two wheeled vehicle mentioned","10","10.28","False","#000000","False","paragraph"
"in the Schedule.)","3","10.28","False","#000000","True","paragraph"
"Now This Policy Witnesseth:","4","9.128","False","#000000","True","heading"
"That subject to the Terms Exceptions and Conditions contained herein or","11","10.28","False","#000000","False","paragraph"
"endorsed or otherwise expressed hereon.","5","10.28","False","#000000","False","paragraph"
"Section I: Loss of or Damage to The Vehicle Insured","10","9.128","False","#000000","True","heading"
"The Company will indemnify the insured against loss or damage to the vehicle","13","10.28","False","#000000","False","paragraph"
"insured hereunder and/or its accessories whilst thereon","7","10.28","False","#000000","False","paragraph"
"i) by fire explosion self ignition or lightning;","8","10.28","False","#000000","False","paragraph"
"ii) by burglary housebreaking or theft;","6","10.28","False","#000000","False","paragraph"
"iii) by riot and strike;","5","10.28","False","#000000","False","paragraph"
"iv) by earthquake (fire and shock damage);","7","10.28","False","#000000","False","paragraph"
"v) by flood typhoon hurricane","5","10.28","False","#000000","False","paragraph"
"hailstorm frost;","2","10.28","False","#000000","False","paragraph"
"vi) by accidental external means;","5","10.28","False","#000000","False","paragraph"
"vii) by malicious act;","4","10.28","False","#000000","False","paragraph"
"viii) by terrorist activity;","4","10.28","False","#000000","False","paragraph"
"storm tempest inundation cyclone","4","10.28","False","#000000","False","paragraph"
"ix) whilst in transit by road rail inland- waterway lift elevator or air;","13","10.28","False","#000000","False","paragraph"
"x) by landslide rockslide.","4","10.28","False","#000000","False","paragraph"
"Subject to a deduction for depreciation at the rates mentioned below in respect","13","10.28","False","#000000","False","paragraph"
"of parts replaced;","3","10.28","False","#000000","False","paragraph"
"For all rubber/ nylon/ plastic parts, tyres,","7","10.28","False","#000000","False","paragraph"
"tubes and batteries","3","10.28","False","#000000","False","paragraph"
