"line","word_count","font_size","is_bold","color","title_case","label"
"THE BUDGET MESSAGE","3","22.284","False","#000000","True","paragraph"
"To The Congress of The UniTed sTaTes:","7","10.206","False","#000000","False","paragraph"
"OF THE PRESIDENT","3","22.284","False","#000000","True","paragraph"
"In one year of working together, we have laid the foundation for a new era of American Greatness.","18","13.365","False","#000000","False","paragraph"
"We have boosted economic growth, created more than two million jobs, and added nearly $5 trillion","16","13.365","False","#000000","False","paragraph"
"in new wealth to the stock market. Unemployment is at a 17-year low, wages are rising, and jobs","18","13.365","False","#000000","False","paragraph"
"are returning to America. Starting this month, hardworking Americans are going to see increased","14","13.365","False","#000000","False","paragraph"
"take home pay because of the massive tax cuts and tax reform legislation we enacted at the end of","19","13.365","False","#000000","False","paragraph"
"last year.","2","13.365","False","#000000","False","paragraph"
"America is back to winning again. A great spirit of optimism continues to sweep across our","16","13.365","False","#000000","False","paragraph"
"Nation. Americans can once again be truly confident that our brightest days are ahead of us.","16","13.365","False","#000000","False","paragraph"
"This year’s Budget builds upon our incredible successes over the past year and rests on the fol-","17","13.365","False","#000000","False","paragraph"
"lowing pillars of reform:","4","13.365","False","#000000","False","paragraph"
"Ending Wasteful Spending. The United States is laboring under the highest level of debt held","15","13.365","False","#000000","False","paragraph"
"by the public since shortly after the Second World War. The current fiscal path is unsustainable,","16","13.365","False","#000000","False","paragraph"
"and future generations deserve better. The Budget makes the hard choices needed to stop wasteful","15","13.365","False","#000000","False","paragraph"
"spending, lower the national debt, and focus Government on what matters most—protecting the","13","13.365","False","#000000","False","paragraph"
"Nation.","1","13.365","False","#000000","True","paragraph"
"Expanding Economic Growth and Opportunity. The Budget continues our efforts to grow","12","13.365","False","#000000","False","paragraph"
"the economy, create millions of new jobs, and raise wages. To accompany our efforts to cut spending","17","13.365","False","#000000","False","paragraph"
"and implement massive tax cuts and reforms for American families, workers, and businesses, we","14","13.365","False","#000000","False","paragraph"
"will continue to relentlessly target unnecessary regulations for elimination. We will also continue","13","13.365","False","#000000","False","paragraph"
"driving America toward energy dominance and making the United States a net energy exporter by","15","13.365","False","#000000","False","paragraph"
"2026.","1","13.365","False","#000000","True","paragraph"
"The Budget also redefines what is possible, by putting the American economy on a path to sus-","17","13.365","False","#000000","False","paragraph"
"tainable 3-percent long-term economic growth. Over the next decade, a steady rate of 3-percent eco-","15","13.365","False","#000000","False","paragraph"
"nomic growth will infuse trillions of additional dollars into our economy, fueling the dreams of the","16","13.365","False","#000000","False","paragraph"
"American people and sustaining a new era of American Greatness.","10","13.365","False","#000000","False","paragraph"
"Preserving Peace Through Strength. The Budget recognizes that we confront political, eco-","12","13.365","False","#000000","False","paragraph"
"nomic, and military adversaries and competitors that have required us to adjust our national se-","15","13.365","False","#000000","False","paragraph"
"curity strategy. Foremost, the Budget rebuilds and modernizes the military—to fulfill a core con-","14","13.365","False","#000000","False","paragraph"
"stitutional responsibility of the Federal Government. The Budget provides resources to enhance","12","13.365","False","#000000","False","paragraph"
"missile defense and to build the planes, tanks, warships, and cyber tools that the brave men and","17","13.365","False","#000000","False","paragraph"
"women who defend us need to deter aggression and, when necessary, to fight and win. Most impor-","17","13.365","False","#000000","False","paragraph"
"tantly, the Budget provides funds to increase the size of our Armed Forces and to give our men and","19","13.365","False","#000000","False","paragraph"
"women in uniform a well-earned pay raise. The Budget recognizes that we must deftly employ all","16","13.365","False","#000000","False","paragraph"
"of our tools of statecraft—diplomatic, intelligence-related, military, and economic—to compete and","11","13.365","False","#000000","False","paragraph"
"1","1","13.365","False","#000000","True","paragraph"
"2","1","12.15","False","#000000","True","paragraph"
"THE BUDGET MESSAGE OF THE PRESIDENT","6","13.365","False","#000000","True","heading"
"advance American influence. A world that supports American interests and reflects our values makes","14","13.365","False","#000000","False","paragraph"
"America more secure and prosperous.","5","13.365","False","#000000","False","paragraph"
"Building the Wall, Dismantling Transnational Criminal Organizations, and Enforcing","9","13.618","False","#000000","True","paragraph"
"Our Immigration Laws. The Budget reflects my Administration’s serious and ongoing commit-","12","13.365","False","#000000","False","paragraph"
"ment to fully secure our border, take the fight to criminal gangs like MS-13, and make our immigra-","18","13.365","False","#000000","False","paragraph"
"tion system work for Americans. The Budget provides funding for a wall on our Southwest border","16","13.365","False","#000000","False","paragraph"
"and additional resources for law enforcement at the Departments of Homeland Security and Justice.","14","13.365","False","#000000","False","paragraph"
"The Budget also funds an increase in the number of Immigration and Customs Enforcement officers,","15","13.365","False","#000000","False","paragraph"
"Border Patrol agents, and immigration judges to improve enforcement at the border and within the","15","13.365","False","#000000","False","paragraph"
"United States.","2","13.365","False","#000000","True","paragraph"
"Rebuilding our Infrastructure. World-class infrastructure is possible for the American people.","11","13.365","False","#000000","False","paragraph"
"Together we will build stunning new bridges, railways, waterways, tunnels, water treatment facili-","13","13.365","False","#000000","False","paragraph"
"ties, and highways. The Budget reflects a new vision for American infrastructure that would generate","15","13.365","False","#000000","False","paragraph"
"$1 trillion in infrastructure investment and speed its delivery to the American people.","13","13.365","False","#000000","False","paragraph"
"Supporting American Working Families. Due to changes in family structures, labor force com-","13","13.365","False","#000000","False","paragraph"
"position, and participation rates, the demands on American families have never been more complex","14","13.365","False","#000000","False","paragraph"
"or expensive to address. In addition to the middle income tax relief achieved with the passage of tax","18","13.365","False","#000000","False","paragraph"
"reform, the Budget reflects the importance of investing in American working families by making paid","15","13.365","False","#000000","False","paragraph"
"family leave available to new parents, investing in effective approaches to skills training like formal","15","13.365","False","#000000","False","paragraph"
"apprenticeships, and maintaining Federal funding and leveraging additional State dollars for pro-","12","13.365","False","#000000","False","paragraph"
"grams that help America’s working families access and afford child care. With these strategic invest-","15","13.365","False","#000000","False","paragraph"
"ments, the Budget empowers Americans to thrive in our modern economy.","11","13.365","False","#000000","False","paragraph"
"Protecting Our Veterans. The Budget fulfills our promise and obligation to care for our veterans","15","13.365","False","#000000","False","paragraph"
"and their families—men and women who answered our Nation’s call for help and sacrificed so much","16","13.365","False","#000000","False","paragraph"
"to defend us. Our veterans have earned nothing less than the absolute best care and benefits after","17","13.365","False","#000000","False","paragraph"
"their service has ended, and the Budget provides the funding necessary to treat them with the honor","17","13.365","False","#000000","False","paragraph"
"and respect they deserve. It is our Nation’s duty to ensure veterans have access to the medical treat-","18","13.365","False","#000000","False","paragraph"
"ment they need, when they need it—and that they have a choice when it comes to their care. The","19","13.365","False","#000000","False","paragraph"
"Budget also ensures that veterans receive training and support to re-enter the workforce and find","15","13.365","False","#000000","False","paragraph"
"well-paying jobs.","2","13.365","False","#000000","False","paragraph"
"Combatting Opioid Addiction. More Americans died from drug overdoses in 2016 than those","13","13.365","False","#000000","False","paragraph"
"who lost their lives in the Vietnam War. Opioids caused the overwhelming majority of these deaths,","16","13.365","False","#000000","False","paragraph"
"which is why my Administration has declared a nationwide Public Health Emergency with respect to","15","13.365","False","#000000","False","paragraph"
"opioids. The Budget reflects a solemn and unshakable commitment to liberate communities from the","14","13.365","False","#000000","False","paragraph"
"scourge of opioids and drug addiction.","6","13.365","False","#000000","False","paragraph"
"Fighting High Medical Drug Prices. Many patients face illness that could be cured or man-","15","13.365","False","#000000","False","paragraph"
"aged with the right medical drugs. But the prices for the drugs they need are often exorbitant.","17","13.365","False","#000000","False","paragraph"
"Unnecessarily high drug prices force many patients to choose between going without the medicines","14","13.365","False","#000000","False","paragraph"
"they need or making tremendous financial sacrifices. In addition, taxpayers all too often are left","15","13.365","False","#000000","False","paragraph"
"to pay inflated prices for drugs for patients who obtain them through Government programs. The","15","13.365","False","#000000","False","paragraph"
"Budget proposes new strategies to address high drug prices and increase access to drugs by address-","16","13.365","False","#000000","False","paragraph"
"ing perverse payment incentives and exposing drug companies to more aggressive competition, all","13","13.365","False","#000000","False","paragraph"
"while continuing to promote innovation and extend American dominance in the pharmaceutical field.","13","13.365","False","#000000","False","paragraph"
"Moving from Welfare to Work. Millions of our fellow Americans have been robbed of the dig-","16","13.365","False","#000000","False","paragraph"
"nity and independence that comes through the opportunity to work. Despite significant economic","13","13.365","False","#000000","False","paragraph"
"THE BUDGET FOR FISCAL YEAR 2019","6","13.365","False","#000000","True","paragraph"
"3","1","12.15","False","#000000","True","paragraph"
"improvements and a strong recovery in the job market, enrollment in welfare programs remains","14","13.365","False","#000000","False","paragraph"
"stubbornly high in many places around the Nation. Millions of Americans are in a tragic state of de-","18","13.365","False","#000000","False","paragraph"
"pendency on a welfare system that does not reward work, and in many cases, pays people not to work.","19","13.365","False","#000000","False","paragraph"
"These programs, expanded during the previous administration, must now be reformed. While mov-","13","13.365","False","#000000","False","paragraph"
"ing able-bodied Americans back into the workforce, welfare reform must also protect public resources","14","13.365","False","#000000","False","paragraph"
"for the truly needy, especially the low-income elderly, children, and Americans with disabilities. The","14","13.365","False","#000000","False","paragraph"
"Budget includes sensible reforms to problems in our current welfare system, and aims to end debili-","16","13.365","False","#000000","False","paragraph"
"tating dependency while ensuring that our safety net is reserved for those Americans who truly need","16","13.365","False","#000000","False","paragraph"
"help.","1","13.365","False","#000000","False","paragraph"
"More Pathways to Affordable Education and Well-Paying Jobs. The Budget takes impor-","12","13.618","False","#000000","False","paragraph"
"tant steps to expand opportunities for Americans to access affordable, employment-relevant educa-","12","13.365","False","#000000","False","paragraph"
