"line","word_count","font_size","is_bold","color","title_case","label"
"Budget Provisions, net of receipts and recoveries, for the year 2014-2015 are as under.","14","8.442","True","#000000","False","paragraph"
"Further details are on pages indicated in the last column of this Statement","13","8.442","True","#000000","False","paragraph"
"Budget 2014-2015","2","8.442","True","#000000","True","heading"
"Ministry/Demand","1","9.294","False","#000000","True","paragraph"
"MINISTRY OF AGRICULTURE","3","7.992","True","#000000","True","paragraph"
"Department of Agriculture and Cooperation","5","9.849","False","#000000","True","paragraph"
"Department of Agricultural Research and Education","6","9.849","False","#000000","True","paragraph"
"Department of Animal Husbandry, Dairying and Fisheries","7","9.849","False","#000000","True","paragraph"
"DEPARTMENT OF ATOMIC ENERGY","4","7.992","True","#000000","True","paragraph"
"Atomic Energy","2","9.849","False","#000000","True","paragraph"
"Nuclear Power Schemes","3","9.849","False","#000000","True","paragraph"
"MINISTRY OF CHEMICALS AND FERTILISERS","5","7.992","True","#000000","True","paragraph"
"Department of Chemicals and Petrochemicals","5","9.849","False","#000000","True","paragraph"
"Department of Fertilisers","3","9.849","False","#000000","True","paragraph"
"Department of Pharmaceuticals","3","9.849","False","#000000","True","paragraph"
"MINISTRY OF CIVIL AVIATION","4","7.992","True","#000000","True","paragraph"
"Ministry of Civil Aviation","4","9.849","False","#000000","True","paragraph"
"MINISTRY OF COAL","3","7.992","True","#000000","True","paragraph"
"Ministry of Coal","3","9.849","False","#000000","True","paragraph"
"MINISTRY OF COMMERCE AND INDUSTRY","5","7.992","True","#000000","True","paragraph"
"Department of Commerce","3","9.849","False","#000000","True","paragraph"
"Department of Industrial Policy and Promotion","6","9.849","False","#000000","True","paragraph"
"MINISTRY OF COMMUNICATIONS AND INFORMATION TECHNOLOGY","6","7.992","True","#000000","True","paragraph"
"Department of Posts","3","9.849","False","#000000","True","paragraph"
"Department of Telecommunications","3","9.849","False","#000000","True","paragraph"
"Department of Electronics and Information Technology","6","9.849","False","#000000","True","paragraph"
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION","8","7.992","True","#000000","True","paragraph"
"Department of Consumer Affairs","4","9.849","False","#000000","True","paragraph"
"Department of Food and Public Distribution","6","9.849","False","#000000","True","paragraph"
"MINISTRY OF CORPORATE AFFAIRS","4","7.992","True","#000000","True","paragraph"
"Ministry of Corporate Affairs","4","9.849","False","#000000","True","paragraph"
"MINISTRY OF CULTURE","3","7.992","True","#000000","True","paragraph"
"Ministry of Culture","3","9.849","False","#000000","True","paragraph"
"MINISTRY OF DEFENCE","3","7.992","True","#000000","True","paragraph"
"Ministry of Defence","3","9.849","False","#000000","True","paragraph"
"Defence Pensions","2","9.849","False","#000000","True","paragraph"
"Defence Services-Army","2","9.849","False","#000000","True","paragraph"
"Defence Services-Navy","2","9.849","False","#000000","True","paragraph"
"Defence Services-Air Force","3","9.849","False","#000000","True","paragraph"
"Defence Ordnance Factories","3","9.849","False","#000000","True","paragraph"
"Defence Services – Research and Development","6","9.849","False","#000000","True","paragraph"
"Capital Outlay on Defence Services","5","9.849","False","#000000","True","paragraph"
"Plan","1","7.542","True","#000000","True","paragraph"
"Non-Plan","1","7.542","True","#000000","True","paragraph"
"Revenue Capital Total Revenue Capital","5","9.294","False","#000000","True","paragraph"
"28130.48 67.52 28198.00 2863.09 1.85","5","7.992","True","#000000","True","paragraph"
