"line","word_count","font_size","is_bold","color","title_case","label"
"The sample size required for each State for various investigations among different","12","13.294","False","#000000","False","paragraph"
"target groups of individuals are given below:","7","13.294","False","#000000","False","paragraph"
"Investigations No. of","3","11.305","True","#000000","True","paragraph"
"HHs","1","11.305","True","#000000","True","paragraph"
"Anthropometry","1","10.982","False","#000000","True","paragraph"
"Age/Sex/","1","11.305","True","#000000","True","paragraph"
"Physiological Group","2","11.305","True","#000000","True","paragraph"
"Preva- C.I* Relative Sample size","5","11.305","True","#000000","True","paragraph"
"lence Precision per State","4","11.305","True","#000000","False","paragraph"
"Clinical Examination","2","10.982","False","#000000","True","paragraph"
"History of morbidity","3","10.982","False","#000000","False","paragraph"
"Diet survey","2","10.982","False","#000000","False","paragraph"
"Blood Pressure #","3","10.982","False","#000000","True","paragraph"
"Fasting blood glucose","3","10.982","False","#000000","False","paragraph"
"Knowledge &","2","10.982","False","#000000","True","paragraph"
"Practices on HTN &","4","10.982","False","#000000","True","paragraph"
"DM","1","10.982","False","#000000","True","paragraph"
"2400 All the available individuals","5","10.982","False","#000000","False","paragraph"
"1200 All the individuals partaking meals in the HH","9","10.982","False","#000000","False","paragraph"
"Men (≥ 18yrs)","3","10.982","False","#000000","True","paragraph"
"2400","1","10.982","False","#000000","True","paragraph"
"Women (≥ 18 yrs)","4","10.982","False","#000000","True","paragraph"
"Men (≥ 18 yrs)","4","10.982","False","#000000","True","paragraph"
"2400","1","10.982","False","#000000","True","paragraph"
"Women (≥ 18 yrs)","4","10.982","False","#000000","True","paragraph"
"2400 Men (≥ 18 yrs)","5","10.982","False","#000000","True","paragraph"
"2400 Women (≥ 18 yrs)","5","10.982","False","#000000","True","paragraph"
"1728","1","10.982","False","#000000","True","paragraph"
"10% 95% 20%","3","10.982","False","#000000","True","paragraph"
"1728","1","10.982","False","#000000","True","paragraph"
"1825","1","10.982","False","#000000","True","paragraph"
"5% 95% 20%","3","10.982","False","#000000","True","paragraph"
"1825","1","10.982","False","#000000","True","paragraph"
"- - 1728","3","10.982","False","#000000","True","paragraph"
"- - 1728","3","10.982","False","#000000","True","paragraph"
"*CI: Confidence Interval # Design effect 2","7","10.982","False","#000000","False","paragraph"
"3.4.2. Measurement of blood pressure","5","13.685","True","#000000","False","paragraph"
"Earlier studies have revealed that the prevalence of hypertension among the rural","12","13.294","False","#000000","False","paragraph"
"adults of ≥18 years in the State of Gujarat was 10%3 which was lowest compared to","16","13.294","False","#000000","False","paragraph"
"other NNMB States. Assuming 10% prevalence of hypertension among rural adults,","11","13.294","False","#000000","False","paragraph"
"with 95% confidence interval, 20% relative precision and design effect of 2, the sample","14","13.294","False","#000000","False","paragraph"
"size computed for each State was 1,728 adults in each gender.","11","13.294","False","#000000","False","paragraph"
"3.4.3. Estimation of fasting blood glucose","6","13.685","True","#000000","False","heading"
"Earlier studies have revealed that the overall prevalence of diabetes among the","12","13.294","False","#000000","False","paragraph"
"rural adults of ≥18 years was about 5%3. Assuming 5% prevalence of diabetes among","14","13.294","False","#000000","False","paragraph"
"rural adults, with 95% confidence interval and 20% relative precision, the sample size","13","13.294","False","#000000","False","paragraph"
"computed was 1,825 adults in each gender.","7","13.294","False","#000000","False","paragraph"
"3.5. Investigations","2","13.685","True","#000000","True","heading"
"The following investigations were carried out in the selected HHs:","10","13.294","False","#000000","False","paragraph"
"3.5.1. Socio-economic and demographic particulars of households","7","13.685","True","#000000","False","heading"
"Socioeconomic and demographic particulars, such as age, sex, occupation, annual","10","13.294","False","#000000","False","paragraph"
"family income, family size, type of family, literacy level of individuals, information about","13","13.294","False","#000000","False","paragraph"
"possession of agricultural land, types of crops raised, their yield during previous year,","13","13.294","False","#000000","False","paragraph"
"live stock, type of dwelling, environmental sanitation etc. from all the selected 20 HHs","14","13.294","False","#000000","False","paragraph"
"were collected using pre-tested questionnaires.","5","13.294","False","#000000","False","paragraph"
"NNMB","1","11.56","False","#000000","True","paragraph"
"3 Rural-Third Repeat Survey 2011-12","5","11.56","False","#000000","True","paragraph"
