"line","word_count","font_size","is_bold","color","title_case","label"
"What is the Cost of Building a Subway?","8","14.475","False","#000000","True","heading"
"Alon Levy","2","11.007","False","#000000","True","paragraph"
"Table of Contents","3","14.475","False","#000000","True","heading"
"Introduction","1","11.007","False","#000000","True","heading"
"Literature Review","2","11.007","False","#000000","True","heading"
"The Data","2","11.007","False","#000000","True","paragraph"
"Analysis","1","11.007","False","#000000","True","paragraph"
"Synthesis","1","11.007","False","#000000","True","heading"
"Further Research","2","11.007","False","#000000","True","heading"
"Introduction","1","14.475","False","#000000","True","heading"
"In the 2010s, New York opened two subway extensions (7","10","11.007","False","#000000","False","paragraph"
"extension, Second Avenue Subway) for $1.3-1.6 billion/km.","7","11.007","False","#000000","False","paragraph"
"This decade, Paris has built several M´etro extensions (M4, M12 in","11","11.007","False","#000000","False","paragraph"
"service; M1, M11, GPX under construction) for around $250","9","11.007","False","#000000","False","paragraph"
"million/km.","1","11.007","False","#000000","False","paragraph"
"The most recent Madrid Metro extensions (L2, L9) cost $85","10","11.007","False","#000000","False","paragraph"
"million/km.","1","11.007","False","#000000","False","paragraph"
"The big question: why?","4","11.007","False","#000000","False","paragraph"
"What does this mean?","4","14.475","False","#000000","False","heading"
"New York is planning to have spent around $35 billion between","11","11.007","False","#000000","False","paragraph"
"2005 and 2030 on subway and commuter rail expansion. But it’s","11","11.007","False","#000000","False","paragraph"
"only getting 15 km of new tunnel!","7","11.007","False","#000000","False","paragraph"
"Paris is spending a similar amount over the same period: e40","11","11.007","False","#000000","False","paragraph"
"billion, for a total of 228 km, 187 underground.","9","11.007","False","#000000","False","paragraph"
"Madrid, a much smaller city, spent e10 billion in 1995-2015 on","11","11.007","False","#000000","False","paragraph"
"234 km, around 180 underground.","5","11.007","False","#000000","False","paragraph"
"The limiting factor to subway expansion is cost.","8","11.007","False","#000000","False","paragraph"
"Why?","1","14.475","False","#000000","True","heading"
"This is the $2 billion question! The data can help answer","11","11.007","False","#000000","False","paragraph"
"important questions:","2","11.007","False","#000000","False","paragraph"
"Is New York building inherently more diﬃcult projects?","8","11.007","False","#000000","False","paragraph"
"Where else are costs high? Where are they low?","9","11.007","False","#000000","False","paragraph"
"Are high costs caused by geological and geographic factors?","9","11.007","False","#000000","False","paragraph"
"Are deep institutional factors (e.g. health care, legal system)","9","11.007","False","#000000","False","paragraph"
"involved?","1","11.007","False","#000000","False","paragraph"
"Is this about cheaper construction methods?","6","11.007","False","#000000","False","paragraph"
"Can anything be done about the problem?","7","11.007","False","#000000","False","paragraph"
"Good news: it appears the problem is, at least in theory, solvable!","12","11.007","False","#000000","False","paragraph"
"Lit review: cost overruns","4","14.475","False","#000000","False","paragraph"
"There has been extensive study of cost overruns from the initial","11","11.007","False","#000000","False","paragraph"
"budget:","1","11.007","False","#000000","False","paragraph"
"Pickrell 1990, 1992: American urban rail; see more recent","9","11.007","False","#000000","False","paragraph"
"revision by Hardy-Doh-Yuan-Zhou-Button 2009.","4","11.007","False","#000000","False","paragraph"
"Fouracre-Allport-Thomson 1990: developing-world metros.","4","11.007","False","#000000","False","paragraph"
"Flyvbjerg on strategic misrepresentation (i.e. lying):","6","11.007","False","#000000","False","paragraph"
"Flyvbjerg-Bruzelius-Rothengatter’s Megaprojects and Risk","4","11.007","False","#000000","True","paragraph"
"2003, Flyvberg-Holm-Buhl 2002-5, etc.","4","11.007","False","#000000","True","paragraph"
"These studies ﬁnd that costs tend to run over, but don’t compare","12","11.007","False","#000000","False","paragraph"
"absolute costs. But they give us one caution: we should be wary of","13","11.007","False","#000000","False","paragraph"
"old ex ante data.","4","11.007","False","#000000","False","paragraph"
"Lit review: absolute costs","4","14.475","False","#000000","False","heading"
"Some studies of absolute costs of urban rail:","8","11.007","False","#000000","False","paragraph"
"Flyvbjerg-Bruzelius-van Wee 2008: small N, all in developed","8","11.007","False","#000000","False","paragraph"
"countries, mixed subways/els. This study ﬁnds a small US","9","11.007","False","#000000","False","paragraph"
"premium, but the US lines compared are easier to build than","11","11.007","False","#000000","False","paragraph"
"some of the European lines.","5","11.007","False","#000000","False","paragraph"
"Gordon-Schleicher 2015: bigger N, covering poor and rich","8","11.007","False","#000000","False","paragraph"
"countries, about 1990-2015. They ﬁnd a large US premium","9","11.007","False","#000000","False","paragraph"
"and a small but signiﬁcant positive regression of GDP per","10","11.007","False","#000000","False","paragraph"
"capita on costs.","3","11.007","False","#000000","False","paragraph"
"RPA 2018: several case studies in North America and Europe.","10","11.007","False","#000000","False","paragraph"
"Madrid’s formula","2","14.475","False","#000000","False","paragraph"
"Manuel Melis Maynar was president of Madrid Metro in","9","11.007","False","#000000","False","paragraph"
"1998-2009. In 2003, he gave a report on how Madrid expanded its","12","11.007","False","#000000","False","paragraph"
"Metro for such low cost:","5","11.007","False","#000000","False","paragraph"
"Contracts are awarded based on a technical score (50%),","9","11.007","False","#000000","False","paragraph"
"speed (20%), and cost (30%).","5","11.007","False","#000000","False","paragraph"
"Designs are streamlined, conservative, and reused between","7","11.007","False","#000000","False","paragraph"
"diﬀerent lines.","2","11.007","False","#000000","False","paragraph"
"Stations are built as shallow as possible.","7","11.007","False","#000000","False","paragraph"
"Contracts are itemized, not awarded by lump sum, so change","10","11.007","False","#000000","False","paragraph"
"orders come pre-negotiated (see also Ryan 2019 on Indian","9","11.007","False","#000000","False","paragraph"
"power plants).","2","11.007","False","#000000","False","paragraph"
"Design and construction are awarded to diﬀerent ﬁrms—no","8","11.007","False","#000000","False","paragraph"
"design-build.","1","11.007","False","#000000","False","paragraph"
"In-house oversight—no consultants.","3","11.007","False","#000000","False","paragraph"
"The data","2","14.475","False","#000000","True","heading"
"The primary source for this talk is a new dataset of diﬀerent urban","13","11.007","False","#000000","False","paragraph"
"rail lines and their costs. Some key attributes:","8","11.007","False","#000000","False","paragraph"
"The table covers 205 distinct items totaling 3,600 km of","10","11.007","False","#000000","False","paragraph"
"urban rail.","2","11.007","False","#000000","False","paragraph"
"About 40 countries are represented. The dataset is fairly","9","11.007","False","#000000","False","paragraph"
"complete in the developed world for lines built since the 1990s","11","11.007","False","#000000","False","paragraph"
"but has gaps elsewhere, especially in China.","7","11.007","False","#000000","False","paragraph"
"Most lines are recent: about 2/3 are still under construction or","11","11.007","False","#000000","False","paragraph"
"in planning, forcing the use of ex ante and in medio sources.","12","11.007","False","#000000","False","paragraph"
"The sources are predominantly popular and trade media, and","9","11.007","False","#000000","False","paragraph"
"secondarily agency plans and public documents.","6","11.007","False","#000000","False","paragraph"
"Figures exclude rolling stock whenever possible.","6","11.007","False","#000000","False","paragraph"
"Important line characteristics","3","14.475","False","#000000","False","heading"
"The data table focuses on cost/km, but mentions three additional","10","11.007","False","#000000","False","paragraph"
"characteristics to avoid confounders:","4","11.007","False","#000000","False","paragraph"
"The proportion of the line that is in tunnel.","9","11.007","False","#000000","False","paragraph"
"Number of stations: stations are a key part of construction","10","11.007","False","#000000","False","paragraph"
"costs, esp. at the high end (about 75% of SAS’s costs).","11","11.007","False","#000000","False","paragraph"
"Whether the line is regional rail (RR) or metro: RR","10","11.007","False","#000000","False","paragraph"
"consistently costs more (RER vs. M´etro, Crossrail vs.","8","11.007","False","#000000","False","paragraph"
"Underground, Gateway/ESA vs. SAS, etc.).","5","11.007","False","#000000","False","paragraph"
"The analysis focuses on metros, since few items in the table are","12","11.007","False","#000000","False","paragraph"
"RR.","1","11.007","False","#000000","True","paragraph"
"Line centrality","2","14.475","False","#000000","False","heading"
"Two additional characteristics, not mentioned in the table:","8","11.007","False","#000000","False","paragraph"
"Line centrality: hard to deﬁne precisely, but tunnels cost more","10","11.007","False","#000000","False","paragraph"
"in city center (inc. RR) than in outlying areas. One potential","11","11.007","False","#000000","False","paragraph"
"metric: number of crossings of older lines.","7","11.007","False","#000000","False","paragraph"
"Construction method: cut-and-cover is cheaper than bored","7","11.007","False","#000000","False","paragraph"
"tunnel with cut-and-cover stations (by a factor of 1.5-2),","9","11.007","False","#000000","False","paragraph"
"which is cheaper than bored tunnel with mined stations. But","10","11.007","False","#000000","False","paragraph"
"this data isn’t available in every city.","7","11.007","False","#000000","False","paragraph"
"These are related: city center costs are higher partly because it’s","11","11.007","False","#000000","False","paragraph"
"harder to cut-and-cover. Paris M1 and M12 extension stations cost","10","11.007","False","#000000","False","paragraph"
"e90 million apiece, but RER E La D´efense is e450 million.","11","11.007","False","#000000","False","paragraph"
"SAS Phase 1 stations were deep-mined at around $750 million","10","11.007","False","#000000","False","paragraph"
"each, but they could have been built as shallow cut-and-cover!","10","11.007","False","#000000","False","paragraph"
"Analysis: preliminary observations","3","14.475","False","#000000","False","paragraph"
"Several preliminary observations:","3","11.007","False","#000000","False","paragraph"
"Costs are citywide, that is similar across subways in the same","11","11.007","False","#000000","False","paragraph"
"city.","1","11.007","False","#000000","False","paragraph"
"Costs are to some extent national, that is similar between","10","11.007","False","#000000","False","paragraph"
"diﬀerent cities in the same country.","6","11.007","False","#000000","False","paragraph"
"Costs are rising: more recent subways in the same city cost","11","11.007","False","#000000","False","paragraph"
"more than older ones.","4","11.007","False","#000000","False","paragraph"
"RR is more expensive than metros.","6","11.007","False","#000000","False","paragraph"
"Because costs are national, the explanation should be institutional","9","11.007","False","#000000","False","paragraph"
"and not geologic or geographic. This is diﬃcult and requires","10","11.007","False","#000000","False","paragraph"
"qualitative research, since N is about 40.","7","11.007","False","#000000","False","paragraph"
"Who’s cheap and who’s expensive?","5","14.475","False","#000000","False","paragraph"
"The Anglosphere is expensive, around $500+ million/km","7","11.007","False","#000000","False","paragraph"
"ex-New York: US, Canada, Australia, Singapore, UK.","7","11.007","False","#000000","False","paragraph"
"Western Europe: Germany and NL cost $300-400 million/km,","8","11.007","False","#000000","False","paragraph"
"France is $250 million/km, Mediterranean and Nordic and","8","11.007","False","#000000","False","paragraph"
"Swiss costs average $90-150 million/km.","5","11.007","False","#000000","False","paragraph"
"Eastern Europe runs the gamut from Romania at $100","9","11.007","False","#000000","False","paragraph"
"million/km to Hungary and Russia circa $500 million/km.","8","11.007","False","#000000","False","paragraph"
"East Asia: Korea is about $100 million/km, China perhaps","9","11.007","False","#000000","False","paragraph"
"$250 million, Taiwan and Japan are expensive.","7","11.007","False","#000000","False","paragraph"
"Ex-colonies: all are expensive—subways tend to run at $500","9","11.007","False","#000000","False","paragraph"
"million/km and Manila has one at $1 billion/km.","8","11.007","False","#000000","False","paragraph"
"Other developing: Turkey averages $100 million/km, Ecuador","7","11.007","False","#000000","False","paragraph"
"and Chile are about $150 million/km, Iran maybe $200","9","11.007","False","#000000","False","paragraph"
"million/km, Mexico and Brazil costlier ($330 million/km in","8","11.007","False","#000000","False","paragraph"
"S˜ao Paulo), Thailand $300-650 million/km.","5","11.007","False","#000000","False","paragraph"
"Costs are rising","3","14.475","False","#000000","False","paragraph"
"For the most part, if there are multiple items in the same city,","13","11.007","False","#000000","False","paragraph"
"more recent ones cost more. Exception: if the most recent items","11","11.007","False","#000000","False","paragraph"
"are suburban extensions and the older line is in city center (e.g.","12","11.007","False","#000000","False","paragraph"
"Warsaw).","1","11.007","False","#000000","True","paragraph"
"This is also true historically. Approximate construction costs per","9","11.007","False","#000000","False","paragraph"
"km, in millions of 2019 dollars:","6","11.007","False","#000000","False","paragraph"
"Era New York","3","11.007","False","#000000","True","paragraph"
