"line","word_count","font_size","is_bold","color","title_case","label"
"Design Professional","2","15.12","False","#2f3839","True","paragraph"
"The dos and","3","47.484","True","#ffffff","True","paragraph"
"don’ts of NDAs","3","47.484","True","#ffffff","False","paragraph"
"Signing an owner’s nondisclosure agreement may be an accepted part of doing business,","13","17.64","False","#2f3839","False","paragraph"
"but some of the terms owners seek to impose on designers are just plain unacceptable.","15","17.64","False","#2f3839","False","paragraph"
"While many people might associate nondisclosure agreements,","7","11.97","False","#2f3839","False","paragraph"
"or NDAs, with Silicon Valley startups or Hollywood studios that","10","11.97","False","#2f3839","False","paragraph"
"don’t want their next big ideas made public, there are also many","12","11.97","False","#2f3839","False","paragraph"
"reasons why project owners request that design professionals sign","9","11.97","False","#2f3839","False","paragraph"
"NDAs: to keep proprietary information out of competitors’ hands;","9","11.97","False","#2f3839","False","paragraph"
"to keep deliberations over various means, methods or solutions","9","11.97","False","#2f3839","False","paragraph"
"secret; or to prevent others from learning about an entity’s overall","11","11.97","False","#2f3839","False","paragraph"
"strategy until absolutely necessary.","4","11.97","False","#2f3839","False","paragraph"
"Typically, an owner will request that a designer sign an NDA before","12","11.97","False","#2f3839","False","paragraph"
"negotiating or finalizing a contract in an attempt to keep the","11","11.97","False","#2f3839","False","paragraph"
"project details—or even its existence—secret, whether or not the","9","11.97","False","#2f3839","False","paragraph"
"designer ends up participating in the project.","7","11.97","False","#2f3839","False","paragraph"
"AXA XL’s Design Professional team cautions design professionals","8","11.97","False","#2f3839","False","paragraph"
"to regard NDAs as they do contracts, i.e., read them carefully","11","11.97","False","#2f3839","False","paragraph"
"before signing. We’ve seen cases in which the A/E has signed an","12","11.97","False","#2f3839","False","paragraph"
"NDA without fully understanding its implications.","6","11.97","False","#2f3839","False","paragraph"
"“Some architects or engineers willingly sign NDAs without","8","11.97","False","#2f3839","False","paragraph"
"examining the language and comprehending the penalties they","8","11.97","False","#2f3839","False","paragraph"
"are accepting, including agreeing to penalties without proof of a","10","11.97","False","#2f3839","False","paragraph"
"breach,” says Nancy Rigassio, Executive Claims Counsel for AXA","9","11.97","False","#2f3839","False","paragraph"
"XL’s Design Professional team. “My guess is that when owners","10","11.97","False","#2f3839","False","paragraph"
"propose confidentiality agreements while the parties work out the","9","11.97","False","#2f3839","False","paragraph"
"professional services agreement, many design professionals see","7","11.97","False","#2f3839","False","paragraph"
"the confidentiality agreement as a preliminary—and temporary—","7","11.97","False","#2f3839","False","paragraph"
"step in the process.”","4","11.97","False","#2f3839","False","paragraph"
"While most designers might not intentionally divulge confidential","8","11.97","False","#2f3839","False","paragraph"
"information, there are plenty of situations in which someone","9","11.97","False","#2f3839","False","paragraph"
"might unintentionally let the cat out of the bag. For example,","11","11.97","False","#2f3839","False","paragraph"
"let’s say you were invited to discuss the building of a new big-box","13","11.97","False","#2f3839","False","paragraph"
"store in a town that has traditionally patronized local businesses.","10","11.97","False","#2f3839","False","paragraph"
"After your meeting, someone overhears you and your colleagues","9","11.97","False","#2f3839","False","paragraph"
"discussing the project in a nearby restaurant. Even worse, one","10","11.97","False","#2f3839","False","paragraph"
"of your junior staff members, after hearing about this potential","10","11.97","False","#2f3839","False","paragraph"
"feather in your firm’s cap, decides to post the news on social","12","11.97","False","#2f3839","False","paragraph"
"media. Before you know it, local merchants have formed an","10","11.97","False","#2f3839","False","paragraph"
"organization to protest the project.","5","11.97","False","#2f3839","False","paragraph"
"Another possible scenario is that your firm might suffer a data","11","11.97","False","#2f3839","False","paragraph"
"breach. In such a case, the owner’s confidential material could","10","11.97","False","#2f3839","False","paragraph"
"be stolen and, once the theft was discovered, you would have to","12","11.97","False","#2f3839","False","paragraph"
"notify the owner of the breach as required by law. Since the owner","13","11.97","False","#2f3839","False","paragraph"
"would likely accuse you of violating the NDA, you’d find yourself","11","11.97","False","#2f3839","False","paragraph"
"in the most difficult position of having to prove that the owner’s","12","11.97","False","#2f3839","False","paragraph"
"confidential material was not stolen.","5","11.97","False","#2f3839","False","paragraph"
"What’s “confidential”?","2","15.888","True","#2f3193","False","heading"
"The problem with many, if not most, of these owner-written NDAs","11","11.97","False","#2f3839","False","paragraph"
"is that they’re so broad in scope that a designer of any tenure","13","11.97","False","#2f3839","False","paragraph"
"would have a tough time not violating the terms, no matter how","12","11.97","False","#2f3839","False","paragraph"
"careful the designer, because everything about the project could","9","11.97","False","#2f3839","False","paragraph"
"be deemed confidential.","3","11.97","False","#2f3839","False","paragraph"
"Rather than precisely limit the information the owner wants to","10","11.97","False","#2f3839","False","paragraph"
