"line","word_count","font_size","is_bold","color","title_case","label"
"T echnical assistance financed by ISPA therefore represents a much larger effort than JASPERS, and over a","17","13.647","False","#000000","False","paragraph"
"shorter period of time.","4","13.647","False","#000000","False","paragraph"
"F EMIP Support Fund TA","5","13.256","False","#000000","True","paragraph"
"T he technical assistance provided by the FEMIP support fund is of a different nature. Under the FEMIP","18","13.647","False","#000000","False","paragraph"
"Support Fund, all technical assistance operations have a link to ongoing or future investment projects.","15","13.647","False","#000000","False","paragraph"
"Allocation of TA operations in terms of volume (financed from the budgets 2003 – 2006)","15","13.888","True","#000000","False","heading"
"S ource: FEMIP Support Fund, Annual Report 2009","8","13.647","False","#000000","False","paragraph"
"T he envelope of the FEMIP Support Fund (EUR 105 m) is estimated16 to allow the Bank to provide technical","20","13.647","False","#000000","False","paragraph"
"assistance for investments with an overall volume of EUR 10 bn. Therefore in broad terms the TA is","18","13.647","False","#000000","False","paragraph"
"estimated to represent 1% of the cost of the projects it supports.","12","13.647","False","#000000","False","paragraph"
"16 FEMIP Support Fund Annual Report 2009, section 2.1","9","10.869","False","#000000","False","paragraph"
"61","1","15.768","False","#000000","True","paragraph"
