"line","word_count","font_size","is_bold","color","title_case","label"
"iOS Security","2","46.68","False","#000000","True","heading"
"Contents","1","32.676","False","#000000","True","heading"
"Secure boot chain","3","13.653","False","#000000","False","heading"
"System Software Authorization","3","13.653","False","#000000","True","heading"
"Secure Enclave","2","13.653","False","#000000","True","heading"
"Touch ID","2","13.653","False","#000000","True","heading"
"Face ID","2","13.653","False","#000000","True","heading"
"Hardware security features","3","13.653","False","#000000","False","paragraph"
"File Data Protection","3","13.653","False","#000000","True","paragraph"
"Passcodes","1","13.653","False","#000000","True","paragraph"
"Data Protection classes","3","13.653","False","#000000","False","paragraph"
"Keychain Data Protection","3","13.653","False","#000000","True","paragraph"
"Access to Safari saved passwords","5","13.653","False","#000000","False","paragraph"
"Keybags","1","13.653","False","#000000","True","paragraph"
"Security Certifications and programs","4","13.653","False","#000000","False","paragraph"
"App code signing","3","13.653","False","#000000","False","paragraph"
"Runtime process security","3","13.653","False","#000000","False","paragraph"
"Extensions","1","13.653","False","#000000","True","paragraph"
"App Groups","2","13.653","False","#000000","True","paragraph"
"Data Protection in apps","4","13.653","False","#000000","True","paragraph"
"Accessories","1","13.653","False","#000000","True","paragraph"
"HomeKit","1","13.653","False","#000000","True","paragraph"
"SiriKit","1","13.653","False","#000000","True","paragraph"
"HealthKit","1","13.653","False","#000000","True","paragraph"
"ReplayKit","1","13.653","False","#000000","True","paragraph"
"Secure Notes","2","13.653","False","#000000","True","paragraph"
"Shared Notes","2","13.653","False","#000000","True","paragraph"
"Apple Watch","2","13.653","False","#000000","True","paragraph"
"TLS","1","13.653","False","#000000","True","paragraph"
"VPN","1","13.653","False","#000000","True","paragraph"
"Wi-Fi","1","13.653","False","#000000","True","paragraph"
"Bluetooth","1","13.653","False","#000000","True","paragraph"
"Single Sign-on","2","13.653","False","#000000","True","paragraph"
"AirDrop security","2","13.653","False","#000000","False","paragraph"
"Wi-Fi password sharing","3","13.653","False","#000000","False","paragraph"
"Apple Pay components","3","13.653","False","#000000","False","paragraph"
"How Apple Pay uses the Secure Element","7","13.653","False","#000000","True","paragraph"
"How Apple Pay uses the NFC controller","7","13.653","False","#000000","False","paragraph"
"Credit, debit, and prepaid card provisioning","6","13.653","False","#000000","False","paragraph"
"Payment authorization","2","13.653","False","#000000","False","paragraph"
"iOS 2018iOS Security Guide—White Paper | January 2018","8","12.136","False","#000000","True","paragraph"
"2","1","12.136","False","#000000","True","paragraph"
"Transaction-specific dynamic security code","4","13.653","False","#000000","False","paragraph"
"Contactless payments with Apple Pay","5","13.653","False","#000000","False","paragraph"
"Paying with Apple Pay within apps","6","13.653","False","#000000","False","paragraph"
"Paying with Apple Pay on the web or with Handoff","10","13.653","False","#000000","True","paragraph"
"Rewards cards","2","13.653","False","#000000","False","paragraph"
"Apple Pay Cash","3","13.653","False","#000000","True","paragraph"
"Suica Cards","2","13.653","False","#000000","True","paragraph"
"Suspending, removing, and erasing cards","5","13.653","False","#000000","False","paragraph"
"Apple ID","2","13.653","False","#000000","True","paragraph"
"iMessage","1","13.653","False","#000000","False","paragraph"
"FaceTime","1","13.653","False","#000000","True","paragraph"
"iCloud","1","13.653","False","#000000","False","paragraph"
"iCloud Keychain","2","13.653","False","#000000","False","paragraph"
