"line","word_count","font_size","is_bold","color","title_case","label"
"Mariano Rodriguez .","3","11.437","False","#000000","True","paragraph"
"Gran via de les corts catalanes 164 2º puerta 1","10","11.437","False","#000000","False","paragraph"
"08034, barcelona","2","11.437","False","#000000","False","paragraph"
"barcelona","1","11.437","False","#000000","False","paragraph"
"Hola Mariano, esta es tu factura de pago","8","19.394","False","#000000","False","heading"
"0 €","2","33.431","False","#000000","True","paragraph"
"Total a pagar: (IVA incluido)","5","9.677","False","#000000","False","paragraph"
"Detalle de la factura","4","19.394","False","#000000","False","heading"
"Producto","1","7.918","False","#000000","True","paragraph"
"Importe (base imponible) Impuestos (21% de IVA) Importe total","9","7.918","False","#000000","False","paragraph"
"Data 12GB - Voice 150 min","6","7.038","False","#000000","True","paragraph"
"0.00 € 0.00 € 0.00 €","6","7.038","False","#000000","True","paragraph"
"* Se aplicará un descuento de 2.48 €","8","7.038","False","#000000","False","paragraph"
"Tus datos personales","3","19.394","False","#000000","False","heading"
"Datos de tu factura","4","19.394","False","#000000","False","heading"
"Nombre: Mariano","2","11.437","False","#000000","True","paragraph"
"Importe SIM: 2.48 €","4","11.437","False","#000000","True","paragraph"
"Apellidos: Rodriguez .","3","11.437","False","#000000","True","paragraph"
"Descuento SIM: -2.48 €","4","11.437","False","#000000","True","paragraph"
"Identificación: Y7610630J","2","11.437","False","#000000","True","paragraph"
"Total a pagar: 0.00 €","5","11.437","False","#000000","False","paragraph"
"Dirección: Gran via de les corts catalanes 164 2º Pedido nº: S001590557","12","11.437","False","#000000","False","paragraph"
"puerta 1","2","11.437","False","#000000","False","paragraph"
"Fecha de emisión: 07/12/2019","4","11.437","False","#000000","False","paragraph"
"Código postal: 08034","3","11.437","False","#000000","False","paragraph"
"Factura nº: 4011401880","3","11.437","False","#000000","True","paragraph"
"Población: barcelona","2","11.437","False","#000000","False","paragraph"
"Forma de pago: Tarjeta de crédito","6","11.437","False","#000000","False","paragraph"
"Provincia: barcelona","2","11.437","False","#000000","False","paragraph"
"Teléfono de contacto: 661028470","4","11.437","False","#000000","False","paragraph"
