"line","word_count","font_size","is_bold","color","title_case","label"
"Clave","1","9.24","True","#000000","True","paragraph"
"Nombre Entidad","2","9.24","True","#000000","True","paragraph"
"Entidad","1","9.24","True","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"01 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"Clave","1","9.24","True","#000000","True","paragraph"
"Nombre Municipio","2","9.24","True","#000000","True","paragraph"
"Municipio","1","9.24","True","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"001 Aguascalientes","2","9.24","False","#000000","True","paragraph"
"Clave","1","9.24","True","#000000","True","paragraph"
"Nombre Localidad","2","9.24","True","#000000","True","paragraph"
"Localidad","1","9.24","True","#000000","True","paragraph"
"0094 Granja Adelita","3","9.24","False","#000000","True","paragraph"
"0096 Agua Azul","3","9.24","False","#000000","True","paragraph"
"0100 Rancho Alegre","3","9.24","False","#000000","True","paragraph"
"0102 Los Arbolitos [Rancho]","4","9.24","False","#000000","False","paragraph"
"0104 Ardillas de Abajo (Las Ardillas)","6","9.24","False","#000000","True","paragraph"
"0106 Arellano","2","9.24","False","#000000","True","paragraph"
"0112 Bajío los Vázquez","4","9.24","False","#000000","True","paragraph"
"0113 Bajío de Montoro","4","9.24","False","#000000","True","paragraph"
"0114 Residencial San Nicolás [Baños la Cantera]","7","9.24","False","#000000","False","paragraph"
"0120 Buenavista de Peñuelas","4","9.24","False","#000000","True","paragraph"
"0121 Cabecita 3 Marías (Rancho Nuevo)","6","9.24","False","#000000","False","paragraph"
"0125 Cañada Grande de Cotorina","5","9.24","False","#000000","True","paragraph"
"0126 Cañada Honda [Estación]","4","9.24","False","#000000","False","paragraph"
"0127 Los Caños","3","9.24","False","#000000","True","paragraph"
"0128 El Cariñán","3","9.24","False","#000000","True","paragraph"
"0129 El Carmen [Granja]","4","9.24","False","#000000","False","paragraph"
"0135 El Cedazo (Cedazo de San Antonio)","7","9.24","False","#000000","False","paragraph"
"0138 Centro de Arriba (El Taray)","6","9.24","False","#000000","True","paragraph"
"0139 Cieneguilla (La Lumbrera)","4","9.24","False","#000000","True","paragraph"
"0141 Cobos","2","9.24","False","#000000","True","paragraph"
"0144 El Colorado (El Soyatal)","5","9.24","False","#000000","True","paragraph"
"0146 El Conejal","3","9.24","False","#000000","True","paragraph"
"0157 Cotorina de Abajo","4","9.24","False","#000000","True","paragraph"
"0162 Coyotes","2","9.24","False","#000000","True","paragraph"
"0166 La Huerta (La Cruz)","5","9.24","False","#000000","True","paragraph"
"0170 Cuauhtémoc (Las Palomas)","4","9.24","False","#000000","True","paragraph"
"0171 Los Cuervos (Los Ojos de Agua)","7","9.24","False","#000000","True","paragraph"
"0172 San José [Granja]","4","9.24","False","#000000","False","paragraph"
"0176 La Chiripa","3","9.24","False","#000000","True","paragraph"
"0182 Dolores","2","9.24","False","#000000","True","paragraph"
"0183 Los Dolores","3","9.24","False","#000000","True","paragraph"
"0190 El Duraznillo","3","9.24","False","#000000","True","paragraph"
"0191 Los Durón","3","9.24","False","#000000","True","paragraph"
"0197 La Escondida","3","9.24","False","#000000","True","paragraph"
"0201 Brande Vin [Bodegas]","4","9.24","False","#000000","False","paragraph"
"0207 Valle Redondo","3","9.24","False","#000000","True","paragraph"
"0209 La Fortuna","3","9.24","False","#000000","True","paragraph"
