"line","word_count","font_size","is_bold","color","title_case","label"
"T ESLA’S PROBLEM: OVERESTIMATING","4","24.268","False","#000000","True","paragraph"
"AUTOMATION, UNDERESTIMATING HUMANS","3","24.268","False","#000000","True","paragraph"
"E LON MUSK'S TESLA HAS SERIOUS PRODUCTION PROBLEMS","8","17.002","False","#000000","True","paragraph"
"By IMD Professor Bettina Büchel, with Dario Floreano","8","13.369","False","#000000","True","heading"
"IMD","1","12.062","False","#000000","True","paragraph"
"Chemin de Bellerive 23","4","12.062","False","#000000","True","paragraph"
"PO Box 915,","3","12.062","False","#000000","True","paragraph"
"CH-1001 Lausanne","2","12.062","False","#000000","True","paragraph"
"Switzerland","1","12.062","False","#000000","True","paragraph"
"Tel: +41 21 618 01 11","6","12.062","False","#000000","True","paragraph"
"Fax: +41 21 618 07 07","6","12.062","False","#000000","True","paragraph"
"info@imd.org","1","12.062","False","#000000","False","paragraph"
"www.imd.org","1","12.062","False","#000000","False","paragraph"
"Copyright © 2006-2018 IMD - International Institute for Management Development. All rights, including copyright, pertaining","15","10.701","False","#000000","False","paragraph"
"to the content of this website/publication/document are owned or controlled for these purposes by IMD, except when expressly","18","10.701","False","#000000","False","paragraph"
"stated otherwise. None of the materials provided on/in this website/publication/document may be used, reproduced or","15","10.701","False","#000000","False","paragraph"
"transmitted, in whole or in part, in any form or by any means, electronic or mechanical, including photocopying, recording or","20","10.701","False","#000000","False","paragraph"
"the use of any information storage and retrieval system, without permission in writing from IMD. To request such permission","19","10.701","False","#000000","False","paragraph"
"and for further inquiries, please contact IMD at pressroom@imd.org. Where it is stated that copyright to any part of the IMD","21","10.701","False","#000000","False","paragraph"
"website/publication/document is held by a third party, requests for permission to copy, modify, translate, publish or otherwise","17","10.701","False","#000000","False","paragraph"
"make available such part must be addressed directly to the third party concerned.","13","10.701","False","#000000","False","paragraph"
"TESLA’S PROBLEM: OVERESTIMATING AUTOMATION, UNDERESTIMATING HUMANS | Elon Musk's Tesla has serious","12","10.701","False","#000000","False","paragraph"
"production problems","2","10.701","False","#000000","False","paragraph"
"T esla was hoping to produce 5,000 new Model 3 electric cars each week in 2018. So far, it has","20","13.257","False","#000000","False","paragraph"
"failed to manufacture even half that number. Questioned on the matter, the company’s CEO, Elon","15","13.257","False","#000000","False","paragraph"
"Musk, claimed that “excessive automation was a mistake” and that “humans are underrated”.","13","13.257","False","#000000","False","paragraph"
"He’s not wrong – the recent drive for full automation has overlooked the importance of adaptability.","16","13.257","False","#000000","False","paragraph"
"Humans are still far more able to adapt to change than artificial intelligence (AI). In the long-term, AI","18","13.257","False","#000000","False","paragraph"
"has the potential to replace human workers, but for now leaders need to determine the right speed","17","13.257","False","#000000","False","paragraph"
"of change.","2","13.257","False","#000000","False","paragraph"
"The Tesla factory in Silicon Valley is highly automated. Early on, Musk understood that any process","16","13.257","False","#000000","False","paragraph"
"following a sequence of predefined steps and taking place on a fairly controlled environment, such","15","13.257","False","#000000","False","paragraph"
"as a factory floor, could be automated by artificial intelligence and robots. And this is something he","17","13.257","False","#000000","False","paragraph"
"should be credited for.","4","13.257","False","#000000","False","paragraph"
"But while autonomous systems are developing rapidly, humans remain far better at adapting to","14","13.257","False","#000000","False","paragraph"
"unforeseen changes. When it comes to complex factory work, this is something that should not be","16","13.257","False","#000000","False","paragraph"
"underestimated. Looking back on Tesla’s productivity issues, Musk undoubtedly missed the","11","13.257","False","#000000","False","paragraph"
"importance of adaptability in manufacturing. The probability of small errors and unforeseen","12","13.257","False","#000000","False","paragraph"
"situations is proportional to the complexity of the process, especially when the process takes place","15","13.257","False","#000000","False","paragraph"
"in the physical world.","4","13.257","False","#000000","False","paragraph"
"Adaptive intelligence","2","13.884","True","#000000","False","heading"
"Humans and other forms of intelligent life evolved to survive in a constantly changing world. For this","17","13.257","False","#000000","False","paragraph"
"reason, they can cope remarkably well with unforeseen situations and discrepancies between","12","13.257","False","#000000","False","paragraph"
"expected and actual events. As cognitive scientist Gary Marcus emphasises, there are a lot of","15","13.257","False","#000000","False","paragraph"
"things “that go into human intelligence, like our ability to attend to the right things at the same time,","19","13.257","False","#000000","False","paragraph"
"to reason about them to build models of what’s going on in order to anticipate what might happen","18","13.257","False","#000000","False","paragraph"
"next and so forth.”","4","13.257","False","#000000","False","paragraph"
"Humans and animals can also adapt their bodies to radically different situations in order to achieve","16","13.257","False","#000000","False","paragraph"
"their goals. For example, we can move forward by walking, swimming, jumping, climbing and","14","13.257","False","#000000","False","paragraph"
"crawling – and we can do so even if we lose the use of a limb. These dynamic aspects of biological","21","13.257","False","#000000","False","paragraph"
"systems help them cope with radical change under highly complex situations.","11","13.257","False","#000000","False","paragraph"
"Machine learning, on the other hand, is not yet at the level of human intelligence and adaptability.","17","13.257","False","#000000","False","paragraph"
"Sure, we have made great progress. Today, advanced AI algorithms, inspired by nervous systems,","14","13.257","False","#000000","False","paragraph"
"can learn to recognise similar situations like a traffic light turning red or a ball falling on the street","19","13.257","False","#000000","False","paragraph"
"even better than humans. Developments in robotics also mean that new robots made of soft","15","13.257","False","#000000","False","paragraph"
"materials can physically adapt to unforeseen objects in the physical environment. But in both cases,","15","13.257","False","#000000","False","paragraph"
"adaptability is limited to variations within a restricted category of objects or events.","13","13.257","False","#000000","False","paragraph"
"The truth is that we have not yet mastered the design of robots and AI that are resilient enough to","20","13.257","False","#000000","False","paragraph"
"respond to unpredictable environments. Take the example of robots used in the packaging industry.","14","13.257","False","#000000","False","paragraph"
"Automated guided vehicles with limited on-board intelligence can only follow simple programming","12","13.257","False","#000000","False","paragraph"
"instructions taking them along fixed routes in a defined environment. These robots might be able to","16","13.257","False","#000000","False","paragraph"
"pick up a product and place it into a carton, without the ability to do anything more complex. When","19","13.257","False","#000000","False","paragraph"
"the job changes, the robot will have to be replaced.","10","13.257","False","#000000","False","paragraph"
