"line","word_count","font_size","is_bold","color","title_case","label"
"To Wash It All","4","34.632","True","#000000","True","paragraph"
"James mickens","2","10.982","False","#000000","False","heading"
"This is my last column! Thanks","6","9.858","False","#000000","False","paragraph"
"for reading, and thanks for all","6","9.858","False","#000000","False","paragraph"
"of the support :-). never forget","6","9.858","False","#000000","False","paragraph"
"that when you are alone, i","6","9.858","False","#000000","False","paragraph"
"am with you, and when you","6","9.858","False","#000000","True","paragraph"
"are with someone else, i am also with you,","9","9.858","False","#000000","False","paragraph"
"because i think that i am better than that other","10","9.858","False","#000000","False","paragraph"
"person and i have lengthy opinions about why","8","9.858","False","#000000","False","paragraph"
"this is true. mickens@microsoft.com","4","9.858","False","#000000","False","paragraph"
"Away","1","34.632","True","#000000","True","paragraph"
"W hen I was in graduate school in Ann Arbor, I had a friend who","15","14.883","False","#000000","False","paragraph"
"was deeply involved with the environmentalist movement. He","8","14.883","False","#000000","False","paragraph"
"purchased his food from local farmers’ markets, and he com-","10","14.883","False","#000000","False","paragraph"
"muted by bike instead of by car to reduce his carbon footprint, and he main-","15","14.883","False","#000000","False","paragraph"
"tained a horrid compost bin that will probably be the origin of the next flu","15","14.883","False","#000000","False","paragraph"
"pandemic. One day, he told me that he was going to visit a farm for a week.","17","14.883","False","#000000","False","paragraph"
"I asked him why, and he said that he wanted to “get closer to the land,” a","17","14.883","False","#000000","False","paragraph"
"phrase that you can only say with a straight face if you’re narrating a docu-","15","14.883","False","#000000","False","paragraph"
"mentary about ancient South American tribes. I told my friend that the land","13","14.883","False","#000000","False","paragraph"
"didn’t want to get closer to him, and if he really looked at the land, he’d see","17","14.883","False","#000000","False","paragraph"
"that it was not composed of delicious organic trail mix, but famine and","13","14.883","False","#000000","False","paragraph"
"vultures and backbreaking labor involving wheelbarrows and generally","8","14.883","False","#000000","False","paragraph"
"un acceptable quantities of insects. He responded with an extended lecture","11","14.883","False","#000000","False","paragraph"
"about eco-responsibility, a lecture that I immediately forgot because I real-","11","14.883","False","#000000","False","paragraph"
"ized that my naïve friend was going to die on that farm. So, I told my friend","17","14.883","False","#000000","False","paragraph"
"that he shouldn’t be afraid to end his trip early if he wasn’t having a good","16","14.883","False","#000000","False","paragraph"
"time. He smiled at me, the way that people in slasher movies smile before","14","14.883","False","#000000","False","paragraph"
"they get chopped up, and he left for the farm. Precisely 37 hours later, he","15","14.883","False","#000000","False","paragraph"
"called me on the phone. I asked him how everything was going, and he made","15","14.883","False","#000000","False","paragraph"
"a haunting, elegiac noise, like a foghorn calling out for its mate. I asked him","15","14.883","False","#000000","False","paragraph"
"to describe his first day, and he said that his entire existence revolved around","14","14.883","False","#000000","False","paragraph"
"bleating things: bleating goats that wanted to be fed, and bleating crows that","13","14.883","False","#000000","False","paragraph"
"wanted to steal the food that he gave the bleating goats, and bleating farm","14","14.883","False","#000000","False","paragraph"
"machines that were composed of spinning metal blades and had no discern-","12","14.883","False","#000000","False","paragraph"
"able purpose besides enrolling you in the “Hook Hand of the Month” club.","13","14.883","False","#000000","False","paragraph"
"I asked my friend when he was coming back home, and he said that he was","16","14.883","False","#000000","False","paragraph"
"calling me from the Ann Arbor train station; he had already returned. And","13","14.883","False","#000000","False","paragraph"
