"line","word_count","font_size","is_bold","color","title_case","label"
"Trace-based Just-in-Time Type Specialization for Dynamic","6","23.331","False","#000000","True","paragraph"
"Languages","1","23.331","False","#000000","True","paragraph"
"Andreas","1","13.205","False","#000000","True","paragraph"
"Gal∗+, Brendan","2","13.205","False","#000000","True","paragraph"
"Eich∗, Mike","2","13.205","False","#000000","True","paragraph"
"Shaver∗, David","2","13.205","False","#000000","True","paragraph"
"Anderson∗, David","2","13.205","False","#000000","True","paragraph"
"Mandelin∗,","1","13.205","False","#000000","True","paragraph"
"Mohammad R. Haghighat$, Blake","4","13.205","False","#000000","True","paragraph"
"Kaplan∗, Graydon","2","13.205","False","#000000","True","paragraph"
"Hoare∗, Boris","2","13.205","False","#000000","True","paragraph"
"Zbarsky∗, Jason","2","13.205","False","#000000","True","paragraph"
"Orendorff∗,","1","13.205","False","#000000","True","paragraph"
"Jesse","1","13.205","False","#000000","True","paragraph"
"Ruderman∗, Edwin Smith#, Rick Reitmaier#, Michael Bebenita+, Mason Chang+#, Michael Franz+","11","13.205","False","#000000","True","paragraph"
"Mozilla Corporation∗","2","10.805","False","#000000","True","paragraph"
"{gal,brendan,shaver,danderson,dmandelin,mrbkap,graydon,bz,jorendorff,jruderman}@mozilla.com","1","8.348","False","#000000","False","paragraph"
"{edwsmith,rreitmai}@adobe.com Adobe Corporation#","3","10.805","False","#000000","False","paragraph"
"{mohammad.r.haghighat}@intel.com Intel Corporation$","3","10.805","False","#000000","False","paragraph"
"{mbebenit,changm,franz}@uci.edu University of California, Irvine+","5","10.805","False","#000000","False","paragraph"
"Abstract","1","14.258","False","#000000","True","heading"
"Dynamic languages such as JavaScript are more difﬁcult to com-","10","10.805","False","#000000","False","paragraph"
"pile than statically typed ones. Since no concrete type information","10","10.805","False","#000000","False","paragraph"
"is available, traditional compilers need to emit generic code that can","11","10.805","False","#000000","False","paragraph"
"handle all possible type combinations at runtime. We present an al-","11","10.805","False","#000000","False","paragraph"
"ternative compilation technique for dynamically-typed languages","6","10.805","False","#000000","False","paragraph"
"that identiﬁes frequently executed loop traces at run-time and then","10","10.805","False","#000000","False","paragraph"
"generates machine code on the ﬂy that is specialized for the ac-","12","10.805","False","#000000","False","paragraph"
"tual dynamic types occurring on each path through the loop. Our","11","10.805","False","#000000","False","paragraph"
"method provides cheap inter-procedural type specialization, and an","8","10.805","False","#000000","False","paragraph"
"elegant and efﬁcient way of incrementally compiling lazily discov-","9","10.805","False","#000000","False","paragraph"
"ered alternative paths through nested loops. We have implemented","9","10.805","False","#000000","False","paragraph"
"a dynamic compiler for JavaScript based on our technique and we","11","10.805","False","#000000","False","paragraph"
"have measured speedups of 10x and more for certain benchmark","10","10.805","False","#000000","False","paragraph"
"programs.","1","10.805","False","#000000","False","paragraph"
"Categories and Subject Descriptors D.3.4 [Programming Lan-","7","11.549","False","#000000","False","paragraph"
"guages]: Processors — Incremental compilers, code generation.","7","10.706","False","#000000","False","paragraph"
"General Terms Design, Experimentation, Measurement, Perfor-","6","10.805","False","#000000","True","paragraph"
"mance.","1","10.805","False","#000000","False","paragraph"
"Keywords JavaScript, just-in-time compilation, trace trees.","6","10.805","False","#000000","False","paragraph"
"Introduction","1","14.258","False","#000000","True","paragraph"
"Dynamic languages such as JavaScript, Python, and Ruby, are pop-","10","10.805","False","#000000","False","paragraph"
"ular since they are expressive, accessible to non-experts, and make","10","10.805","False","#000000","False","paragraph"
