"line","word_count","font_size","is_bold","color","title_case","label"
"CargoMarine (F)CargoMarine The Contract of Insurance","6","19.088","False","#000000","False","heading"
"This policy, The Schedule, the enclosed Institute Clauses and the information You provided to Us when applying","17","11.66","False","#000000","False","paragraph"
"for this insurance together with any additional information supplied subsequently form the basis on which this","16","11.66","False","#000000","False","paragraph"
"contract has been arranged.","4","11.66","False","#000000","False","paragraph"
"The policy is not valid unless The Schedule is attached to the policy and has been countersigned by an authorised","20","11.66","False","#000000","False","paragraph"
"official of the Company and bears the Company’s stamp.","9","11.66","False","#000000","False","paragraph"
"Important","1","19.088","True","#000000","True","heading"
"This policy is a legal contract. You must tell Us about any facts or changes which affect Your insurance and which","21","11.66","False","#000000","False","paragraph"
"have occurred either since the policy started or since the last renewal date. If You are not sure whether certain","20","11.66","False","#000000","False","paragraph"
"facts are relevant, please ask Your insurance adviser or local Aviva office. If You do not tell Us about relevant","20","11.66","False","#000000","False","paragraph"
"changes, Your policy may not be valid or the policy may not cover You fully.","15","11.66","False","#000000","False","paragraph"
"You should keep a written record (including copies of letters) of any information You give Us or Your insurance","19","11.66","False","#000000","False","paragraph"
"adviser when You renew this policy.","6","11.66","False","#000000","False","paragraph"
"Aviva Insurance Limited","3","9.328","False","#000000","True","paragraph"
"PO Box 6, Surrey Street Norwich NR1 3NS","8","9.328","False","#000000","True","paragraph"
"Registered in Scotland No 2116","5","9.328","False","#000000","True","paragraph"
"Registered Office: Pitheavlis, Perth, Scotland, PH2 0NH","7","9.328","False","#000000","True","paragraph"
"Authorised and regulated by the Financial Services Authority.","8","9.328","False","#000000","False","paragraph"
"Cargo Policy 7183 Version 12","5","9.328","False","#000000","True","paragraph"
"BCIMM9356 07.2012 (F)","3","9.328","False","#000000","True","paragraph"
"BCIMM9356_F_97000743_POB.indd 1","2","9.618","False","#000000","True","paragraph"
"10/07/2012 12:01","2","9.618","False","#000000","True","paragraph"
"CargoMarine (F)CargoMarine Introduction","3","9.328","False","#000000","False","heading"
"Welcome to Aviva. We are committed to providing a first-class service. Aviva is the UK’s largest insurer with over","19","11.66","False","#000000","False","paragraph"
"200 years’ experience in the insurance industry.","7","11.66","False","#000000","False","paragraph"
"This is your insurance policy which sets out your insurance protection in detail. Your premium has been calculated","18","11.66","False","#000000","False","paragraph"
"on the basis of the extent of cover you have selected which is specified in the schedule, the information you have","21","11.66","False","#000000","False","paragraph"
"provided and the declaration you have made.","7","11.66","False","#000000","False","paragraph"
"Please read the policy and the schedule carefully to ensure that the cover meets your requirements. Please","17","11.66","False","#000000","False","paragraph"
"contact your insurance adviser if you have any questions or if you wish to make adjustments.","16","11.66","False","#000000","False","paragraph"
"Contents","1","19.088","True","#000000","True","heading"
"This policy consists of individual sections. You should read this policy in conjunction with the schedule which","17","11.66","False","#000000","False","paragraph"
"confirms the sections you are insured under and gives precise details of the extent of your insurance protection.","18","11.66","False","#000000","False","paragraph"
"Contact details for claims and help","6","19.088","True","#000000","False","heading"
"Services","1","14.316","True","#000000","True","heading"
"As an Aviva customer, you can access additional services to help you keep your business running smoothly. For","18","11.66","False","#000000","False","paragraph"
"our joint protection telephone calls may be recorded and/or monitored.","10","11.66","False","#000000","False","paragraph"
"Claims Service 0161 931 8076","5","19.088","True","#000000","True","heading"
"Our claims line provides you with assistance whenever it is required. When we know about your problem, we will","19","11.66","False","#000000","False","paragraph"
"start to put the solutions in place.","7","11.66","False","#000000","False","paragraph"
"If You are unhappy regarding the handling of a claim, We would encourage You to seek resolution by contacting:","19","11.66","False","#000000","False","paragraph"
"Marine Claims Manager Tel: 0161 931 8076","7","11.66","False","#000000","True","paragraph"
"Aviva","1","11.66","False","#000000","True","paragraph"
"Fax: 0161 931 8011","4","11.66","False","#000000","True","paragraph"
"2/10 Albert Square E-mail: cargo-claims@aviva.co.uk","5","11.66","False","#000000","False","paragraph"
