"line","word_count","font_size","is_bold","color","title_case","label"
"Proceedings of the Twenty-Ninth International","5","10.792","False","#000000","True","paragraph"
"Florida Artificial Intelligence Research Society Conference","6","10.792","False","#000000","True","paragraph"
"TAO: System for Table Detection and Extraction from PDF Documents","10","18.664","False","#000000","True","heading"
"Martha O. Perez-Arriaga, Trilce Estrada, and Soraya Abad-Mota","8","15.553","False","#000000","True","heading"
"Departments of Computer Science, and Electrical and Computer Engineering","9","12.005","False","#000000","True","paragraph"
"{marperez, University of soraya}@cs.unm.edu New Mexico","6","12.005","False","#000000","False","paragraph"
"estrada,","1","12.005","False","#000000","False","paragraph"
"Abstract","1","12.962","False","#000000","True","heading"
"Digital documents present knowledge in most areas of","8","10.804","False","#000000","False","paragraph"
"study, exchanging and communicating information in a","7","10.804","False","#000000","False","paragraph"
"portable way. To better use the knowledge embedded","8","10.804","False","#000000","False","paragraph"
"in an ever-growing information source, effective tools","7","10.804","False","#000000","False","paragraph"
"for automatic information extraction are needed. Tables","7","10.804","False","#000000","False","paragraph"
"are crucial information elements in documents of sci-","8","10.804","False","#000000","False","paragraph"
"entiﬁc nature. Most publications use tables to represent","8","10.804","False","#000000","False","paragraph"
"and report concrete ﬁndings of research. Current meth-","8","10.804","False","#000000","False","paragraph"
"ods used to extract table data from PDF documents lack","10","10.804","False","#000000","False","paragraph"
"precision in detecting, extracting, and representing data","7","10.804","False","#000000","False","paragraph"
"from diverse layouts.","3","10.804","False","#000000","False","paragraph"
"We present the system TAble Organization (TAO) to","8","10.804","False","#000000","False","paragraph"
"automatically detect, extract and organize information","6","10.804","False","#000000","False","paragraph"
"from tables in PDF documents. TAO uses a process-","9","10.804","False","#000000","False","paragraph"
"ing, based on the k-nearest neighbor method and lay-","9","10.804","False","#000000","False","paragraph"
"out heuristics, to detect tables within a document and to","10","10.804","False","#000000","False","paragraph"
"extract table information. This system generates an en-","8","10.804","False","#000000","False","paragraph"
"riched representation of the data extracted from tables","8","10.804","False","#000000","False","paragraph"
"in the PDF documents. TAO’s performance is compara-","8","10.804","False","#000000","False","paragraph"
"ble to other table extraction methods, but it overcomes","9","10.804","False","#000000","False","paragraph"
"some related work limitations and proves to be more ro-","10","10.804","False","#000000","False","paragraph"
"bust in experiments with diverse document layouts.","7","10.804","False","#000000","False","paragraph"
"1 Introduction","2","15.553","False","#000000","True","heading"
"Scientiﬁc digital documents allow us to present and share in-","10","12.005","False","#000000","False","paragraph"
"formation in different areas of knowledge. The ever-growing","8","12.005","False","#000000","False","paragraph"
"number of documents available on the Internet makes it difﬁ-","10","12.005","False","#000000","False","paragraph"
"cult to analyze them at the same pace they are produced. The","12","12.005","False","#000000","False","paragraph"
"myriad topics and ways in which digital documents present","9","12.005","False","#000000","False","paragraph"
"the information hinder the extraction and management of","8","12.005","False","#000000","False","paragraph"
"their contents.","2","12.005","False","#000000","False","paragraph"
"Scientiﬁc publications use tables to represent results and","8","12.005","False","#000000","False","paragraph"
"associations. Tables are simple representations of informa-","7","12.005","False","#000000","False","paragraph"
"tion that show relationships between concepts. People iden-","8","12.005","False","#000000","False","paragraph"
"tify tables within documents easily, but given the number of","10","12.005","False","#000000","False","paragraph"
"documents to analyze, the identiﬁcation is time consuming.","8","12.005","False","#000000","False","paragraph"
"Performing this task automatically is difﬁcult due to the vari-","10","12.005","False","#000000","False","paragraph"
"ety of document formats (e.g., PDF, HTML), tables’ layouts","9","12.005","False","#000000","False","paragraph"
"and types of information.","4","12.005","False","#000000","False","paragraph"
"The main challenge in detecting tables in digital docu-","9","12.005","False","#000000","False","paragraph"
"ments is that tables are mixed with other elements, such","10","12.005","False","#000000","False","paragraph"
"c? Copyright 2016, Association for the Advancement of Artiﬁcial","9","10.804","False","#000000","True","paragraph"
"Intelligence (www.aaai.org). All rights reserved.","5","10.804","False","#000000","False","paragraph"
"as ﬁgures and text. Also, the PDF documents present more","10","12.005","False","#000000","False","paragraph"
"challenges to detect tables due to the lack of table tags. Our","12","12.005","False","#000000","False","paragraph"
"approach focuses on PDF documents.","5","12.005","False","#000000","False","paragraph"
"Current methods (Liu et al. 2007; Oro and Ruffolo 2009)","10","12.005","False","#000000","False","paragraph"
"for automatic table detection and extraction in PDF docu-","9","12.005","False","#000000","False","paragraph"
"ments are useful, but still have some restrictions. These re-","10","12.005","False","#000000","False","paragraph"
"strictions include detection of tables only in documents with","9","12.005","False","#000000","False","paragraph"
"single column, detection relying on patterns not present in","9","12.005","False","#000000","False","paragraph"
"all tables, and extraction lacking elements needed to accu-","9","12.005","False","#000000","False","paragraph"
"rately reconstruct the information provided in a table. To","9","12.005","False","#000000","False","paragraph"
"overcome these limitations, we propose the TAble Organi-","8","12.005","False","#000000","False","paragraph"
"zation (TAO) system that not only provides automatic table","9","12.005","False","#000000","False","paragraph"
"detection and extraction in digital documents, but also gener-","9","12.005","False","#000000","False","paragraph"
"ates a detailed representation of table elements for structural","9","12.005","False","#000000","False","paragraph"
"and functional analyses.","3","12.005","False","#000000","False","paragraph"
"TAO is efﬁcient, comprehensive and robust. It is efﬁcient","9","12.005","False","#000000","False","paragraph"
"because it takes advantage of the structure formed by tables,","10","12.005","False","#000000","False","paragraph"
"avoiding an exhaustive search of table elements where there","9","12.005","False","#000000","False","paragraph"
"is no such structure. It is comprehensive because it discovers","10","12.005","False","#000000","False","paragraph"
"metadata (e.g., header, font, data type, coordinates) and data","9","12.005","False","#000000","False","paragraph"
"from tables embedded in a document. Finally, TAO is robust","10","12.005","False","#000000","False","paragraph"
"because it does not depend on ﬁxed patterns or layouts to","11","12.005","False","#000000","False","paragraph"
"detect tables, and it is able to detect them on different lay-","12","12.005","False","#000000","False","paragraph"
"out documents (see Section 2). Even though scientiﬁc pub-","9","12.005","False","#000000","False","paragraph"
"lications are an important target for TAO, its methods serve","10","12.005","False","#000000","False","paragraph"
"the purpose of extracting information from any PDF doc-","9","12.005","False","#000000","False","paragraph"
"ument containing tables. TAO is compared to related work","9","12.005","False","#000000","False","paragraph"
"(see Sections 3,4). TAO’s output portable format facilitates","8","12.005","False","#000000","False","paragraph"
"information organization and sharing, and further analysis","7","12.005","False","#000000","False","paragraph"
"(see Section 5).","3","12.005","False","#000000","True","paragraph"
"Our main contributions are: 1) an adaptive method to de-","10","12.005","False","#000000","False","paragraph"
"tect and extract tables’ information, 2) an annotated repre-","9","12.005","False","#000000","False","paragraph"
"sentation of the information extracted from tables for further","9","12.005","False","#000000","False","paragraph"
"structural, functional, and semantic analyses, and 3) a web-","9","12.005","False","#000000","False","paragraph"
"based prototype of the system at http://integra.cs.unm.edu.","7","12.005","False","#000000","False","paragraph"
"2 Table Detection and Extraction","5","15.553","False","#000000","True","heading"
"The TAble Organization (TAO) system is capable of detect-","9","12.005","False","#000000","False","paragraph"
"ing and recognizing tables within PDF documents. Table","8","12.005","False","#000000","False","paragraph"
"detection is the process of identifying tables from a docu-","10","12.005","False","#000000","False","paragraph"
"ment, and table recognition of identifying and extracting the","9","12.005","False","#000000","False","paragraph"
"cells contained in a table (Hu et al. 1999). To acomplish this","12","12.005","False","#000000","False","paragraph"
"processing, TAO combines a supervised machine learning","7","12.005","False","#000000","False","paragraph"
"method with layout heuristics, and consists of three main","9","12.005","False","#000000","False","paragraph"
"591","1","12.141","False","#000000","True","paragraph"
"modules: 1) document conversion, 2) table detection, and 3)","9","12.005","False","#000000","False","paragraph"
"table extraction, (see Figure 1).","5","12.005","False","#000000","False","paragraph"
"TAO’s input is a PDF document. Using PDFMiner, the","9","12.005","False","#000000","False","paragraph"
"PDF document is converted to an XML format contain-","9","12.005","False","#000000","False","paragraph"
"ing all elements in the document (e.g., characters, ﬁgure’s","9","12.005","False","#000000","False","paragraph"
"placeholders, layouts). PDFMiner’s output includes separate","6","12.005","False","#000000","False","paragraph"
"XML tags for every character and every space. The second","10","12.005","False","#000000","False","paragraph"
"module, table detection, parses this large XML ﬁle and iden-","10","12.005","False","#000000","False","paragraph"
"tiﬁes table candidates, storing them in a per-page fashion.","9","12.005","False","#000000","False","paragraph"
"The third module, table extraction, uses the table candidates","9","12.005","False","#000000","False","paragraph"
"to ﬁnd particular cells and their content. Once the tables","10","12.005","False","#000000","False","paragraph"
"are identiﬁed, this module augments tables with informa-","8","12.005","False","#000000","False","paragraph"
"tion regarding their metadata and position within the doc-","9","12.005","False","#000000","False","paragraph"
"ument. TAO’s output is a JSON document with the table’s","10","12.005","False","#000000","False","paragraph"
"information and augmented information extracted from the","7","12.005","False","#000000","False","paragraph"
"PDF. Optionally, this information can be stored in a NOSQL","10","12.005","False","#000000","False","paragraph"
"database for easy access and search. In the following sec-","10","12.005","False","#000000","False","paragraph"
"tions, we describe the methods built into the system to per-","11","12.005","False","#000000","False","paragraph"
"form automatic table detection and extraction.","6","12.005","False","#000000","False","paragraph"
