"line","word_count","font_size","is_bold","color","title_case","label"
"J .D. Power and Associates Reports: Vehicle Owners Show Willingness to Spend on Automotive Infotainment Features","16","12.729","True","#000000","True","heading"
"A utonomous Driving Technology Piques Interest of Premium Vehicle Owners","10","12.321","False","#000000","False","paragraph"
"W ESTLAKE VILLAGE, Calif.: 26 April 2012 — Vehicle owners have come to expect additional safety","16","12.321","False","#000000","False","paragraph"
"features and are now turning their attention more to infotainment technologies in their vehicle, according to the","17","12.321","False","#000000","False","paragraph"
"J.D. Power and Associates 2012 U.S. Automotive Emerging Technologies StudySM released today.","12","12.321","False","#000000","False","paragraph"
"T he study measures vehicle owner interest and purchase intent for emerging automotive technologies, both before","16","12.321","False","#000000","False","paragraph"
"and after market price is revealed. The top-five considered technologies—based on vehicle owners who indicate","15","12.321","False","#000000","False","paragraph"
"that they “definitely” or “probably” would purchase in their next vehicle—both pre-price and at market price are:","17","12.321","False","#000000","False","paragraph"
"P re-Price Feature Interest","4","12.321","False","#000000","False","paragraph"
"Light emitting diode (LED) headlights","5","12.321","False","#000000","False","paragraph"
"Natural language voice-activation","3","12.321","False","#000000","False","paragraph"
"Next-generation head-up display","3","12.321","False","#000000","False","paragraph"
"Wireless connectivity system","3","12.321","False","#000000","False","paragraph"
"Remote vehicle diagnostics","3","12.321","False","#000000","False","paragraph"
"At Market Price Feature Interest","5","12.321","False","#000000","True","paragraph"
"70% HD radio (at $100)","5","12.321","False","#000000","False","paragraph"
"52%","1","12.321","False","#000000","True","paragraph"
"69% Enhanced collision mitigation system (at $750) 46%","8","12.321","False","#000000","False","paragraph"
"69% Wireless connectivity system (at $300) 45%","7","12.321","False","#000000","False","paragraph"
"68% Surround-view rear-vision camera (at $550) 44%","7","12.321","False","#000000","False","paragraph"
"65% Personal assistance safety services (at $15/month) 41%","8","12.321","False","#000000","False","paragraph"
"N ot unexpectedly, purchase interest declines across all features when a price is introduced.","14","12.321","False","#000000","False","paragraph"
"“ While vehicle owners remain very interested in technologies that make their vehicle safer, they are turning their","18","12.321","False","#000000","False","paragraph"
"attention more and more toward features and technologies that allow them to be productive, connected and","16","12.321","False","#000000","False","paragraph"
"entertained while in their vehicles,” said Mike VanNieuwkuyk, executive director of global automotive at J.D.","15","12.321","False","#000000","False","paragraph"
"Power and Associates. “Given the variety of interests from consumers, automakers will be challenged to pursue","16","12.321","False","#000000","False","paragraph"
"technologies that fit their consumer’s interests in order to attract them to their products.”","14","12.321","False","#000000","False","paragraph"
"Autonomous Driving—Polarizing Views on Value","6","12.729","True","#000000","False","heading"
"One of the newest, and the most expensive, technologies included in this study is autonomous driving mode—a","17","12.321","False","#000000","False","paragraph"
"feature that allows the vehicle to take control of acceleration, braking and steering, without any human","16","12.321","False","#000000","False","paragraph"
"interaction. While this technology is still being developed and tested, 20 percent of all vehicle owners say they","18","12.321","False","#000000","False","paragraph"
"“definitely would” or “probably would” purchase it in their next vehicle after learning the estimated market price","17","12.321","False","#000000","False","paragraph"
"of $3,000. Prior to learning the price, interest for this technology was at 37 percent.","15","12.321","False","#000000","False","paragraph"
"T he study finds that vehicle owners are nearly as likely to select fully autonomous driving mode as they are to","21","12.321","False","#000000","False","paragraph"
"select semi-autonomous driving technologies such as emergency stop assist ($800), traffic jam assist ($800) or","15","12.321","False","#000000","False","paragraph"
"speed limit assist ($800).","4","12.321","False","#000000","False","paragraph"
"“ Consumers are still learning about how autonomous driving technology could be used in their vehicles,” said","17","12.321","False","#000000","False","paragraph"
"VanNieuwkuyk. “Many owners are skeptical about releasing control of their vehicle and would like to see the","17","12.321","False","#000000","False","paragraph"
"technology proved out before they adopt it.”","7","12.321","False","#000000","False","paragraph"
"(Page 1 of 3)","4","12.321","False","#000000","False","paragraph"
"Vehicle owners with the highest interest in fully autonomous driving at market price are males (25%), those","17","12.321","False","#000000","False","paragraph"
"between the ages of 18 and 37 (30%), and those living in urban areas (30%). The study also finds a high degree","22","12.321","False","#000000","False","paragraph"
"of interest (41%) in fully autonomous driving among vehicle owners who expressed interest in the automatic","16","12.321","False","#000000","False","paragraph"
"parallel parking feature, further illustrating similar interest in both semi-autonomous and fully autonomous","13","12.321","False","#000000","False","paragraph"
"driving modes.","2","12.321","False","#000000","False","paragraph"
"I nterest in autonomous driving mode differs among premium and non-premium vehicle owners. After learning the","16","12.321","False","#000000","False","paragraph"
"price, interest in the feature is at 18 percent among non-premium vehicle owners and at 31 percent among","18","12.321","False","#000000","False","paragraph"
"premium owners.","2","12.321","False","#000000","False","paragraph"
"R esearch conducted1 by J.D. Power’s Consumer Insight and Strategy Group to track social media activity","16","12.321","False","#000000","False","paragraph"
"regarding autonomous driving finds that online sentiment is generally positive. While some vehicle owners","14","12.321","False","#000000","False","paragraph"
"perceive the benefit of autonomous driving as taking the control away from careless, distracted drivers, others see","17","12.321","False","#000000","False","paragraph"
"it as an opportunity to be free and to enjoy the time while traveling. However, auto enthusiasts see autonomous","19","12.321","False","#000000","False","paragraph"
"driving as the loss of status and would not want to give up the pleasure of driving.","17","12.321","False","#000000","False","paragraph"
