"line","word_count","font_size","is_bold","color","title_case","label"
"Group Operations Information Security Best Practices","6","16.794","True","#000000","True","heading"
"When creating a document, classify","5","9.522","False","#000000","False","paragraph"
"it by selecting the right classification level *","8","9.522","False","#000000","False","paragraph"
"(Public, Internal, Confidential, Secret) and","5","8.844","False","#000000","False","paragraph"
"determine the list of recipients.","5","9.522","False","#000000","False","paragraph"
"When printing Internal or Confidential","5","9.522","False","#000000","False","paragraph"
"documents, stay beside the printer to avoid","7","9.522","False","#000000","False","paragraph"
"them being disclosed.","3","9.522","False","#000000","False","paragraph"
"S tore confidential documents in a closed locker","8","9.522","False","#000000","False","paragraph"
"or cupboard. Store secret data in","6","9.522","False","#000000","False","paragraph"
"a safe.","2","9.522","False","#000000","False","paragraph"
"Use a confidentiality screen filter when","6","9.522","False","#000000","False","paragraph"
"displaying restricted, or confidential information","5","9.522","False","#000000","False","paragraph"
"on a laptop outside of the office.","7","9.522","False","#000000","False","paragraph"
"Apply the clean desk policy and don’t leave","8","9.522","False","#000000","False","paragraph"
"“Internal, Confidential, Secret” documents","4","9.522","False","#000000","False","paragraph"
"unattended on the desk when you leave the","8","9.522","False","#000000","False","paragraph"
"office.","1","9.522","False","#000000","False","paragraph"
"Use shared drives carefully: Restrict access","6","9.522","False","#000000","False","paragraph"
"rights for specific user access and encrypt (with","8","9.522","False","#000000","False","paragraph"
"7zip or Winzip or O365) confidential or secret","8","9.522","False","#000000","False","paragraph"
"data. Save files in the appropriate folders.","7","9.522","False","#000000","False","paragraph"
"Don’t send confidential information via email in","7","9.522","False","#000000","False","paragraph"
"clear text, Encrypt (with 7zip or Winzip or O365) it","10","9.522","False","#000000","False","paragraph"
"in a document attached to the email. Don’t send","9","9.522","False","#000000","False","paragraph"
"an encrypted document and its password in the","8","9.522","False","#000000","False","paragraph"
"same e-mail.","2","9.522","False","#000000","False","paragraph"
"Don’t send professional AXA data to personal or","8","9.522","False","#000000","False","paragraph"
"mailboxes. Always check the list of recipients to","8","9.522","False","#000000","False","paragraph"
"ensure only authorized people may gain access","7","9.522","False","#000000","False","paragraph"
"to the information.","3","9.522","False","#000000","False","paragraph"
"Use the corporate AXA secure file transfer","7","9.293","False","#000000","False","paragraph"
"service: ONE DRIVE or SharePoint.","5","9.522","False","#000000","False","paragraph"
"Never use alternative information sharing","5","9.522","False","#000000","False","paragraph"
"services, not approved by Group Operations,","6","9.522","False","#000000","False","paragraph"
"such as dropbox, wetransfer, livebox…","5","9.522","False","#000000","False","paragraph"
"Do not expose any details of your job and","9","9.522","False","#000000","False","paragraph"
"missions at AXA on social media.","6","9.522","False","#000000","False","paragraph"
"Refrain from publishing classified non-public","5","9.522","False","#000000","False","paragraph"
"business information on the internet","5","9.522","False","#000000","False","paragraph"
"Always transfer suspicious emails to the security","7","9.522","False","#000000","False","paragraph"
"team. Avoid in opening files as attachments","7","9.522","False","#000000","False","paragraph"
"whose origin is not safe. Beware of phishing","8","9.522","False","#000000","False","paragraph"
"emails.","1","9.522","False","#000000","False","paragraph"
"Do NOT use non-corporate applications","5","9.522","False","#000000","False","paragraph"
"to store confidential or secret data on","7","9.522","False","#000000","False","paragraph"
"corporate mobile devices. Immediately notify","5","9.522","False","#000000","False","paragraph"
"your security department in case of device loss","8","9.522","False","#000000","False","paragraph"
"or theft.","2","9.293","True","#000000","False","paragraph"
"Always use shredders or secured","5","9.522","False","#000000","False","paragraph"
"containers to destroy internal,","4","9.522","False","#000000","False","paragraph"
"confidential or secret documents","4","9.522","False","#000000","False","paragraph"
"(paper, removable media, …).","4","9.522","False","#000000","False","paragraph"
"In case of doubt or suspicion","6","9.522","False","#000000","False","paragraph"
"of information loss, leakage or theft,","6","9.522","False","#000000","False","paragraph"
"immediately contact security team.","4","9.522","False","#000000","False","paragraph"
"Avoid putting sensitive information/data in","5","9.293","False","#000000","False","paragraph"
"email objects or file/folder names: To ensure","7","9.293","False","#000000","False","paragraph"
"only authorized people may gain access to the","8","9.522","False","#000000","False","paragraph"
"information.","1","9.522","False","#000000","False","paragraph"
"* Four classification levels available:","5","9.293","True","#000000","False","heading"
"Secret Any information the disclosure of which could","8","7.686","False","#000000","False","paragraph"
"seriously damage the essential interests of AXA","7","7.477","False","#000000","False","paragraph"
"Any information which may be communicated only","7","7.686","False","#000000","False","paragraph"
"to the persons directly concerned (and clearly","7","7.686","False","#000000","False","paragraph"
"Confidential defined) and the unwanted disclosure of which","8","7.686","False","#000000","False","paragraph"
"could significantly harm an AXA project, activity","7","7.477","False","#000000","False","paragraph"
"or entity","2","7.477","True","#000000","False","paragraph"
"Any information which may circulate only within","7","7.686","False","#000000","False","paragraph"
"Internal AXA and may be distributed only on a need-","10","7.686","False","#000000","False","paragraph"
"to-know basis","2","7.477","True","#000000","False","paragraph"
"Any information which may be usually publicly","7","7.686","False","#000000","False","paragraph"
"Public","1","7.501","True","#000000","True","paragraph"
"accessible and the disclosure of which does not","8","7.686","False","#000000","False","paragraph"
"harm the interests of AXA","5","7.686","False","#000000","False","paragraph"
"Cyber Defense/Global Security Services: ? go_cd_global_security_services@axa.com","6","11.472","False","#000000","False","paragraph"
"Internal","1","6.862","False","#000000","True","paragraph"
