"line","word_count","font_size","is_bold","color","title_case","label"
"#80915","1","15.509","True","#000000","True","heading"
"Stock Brushless Competition","3","9.384","False","#000000","True","paragraph"
"Dual ADPCMAX.2 Proﬁles","3","9.384","False","#000000","True","paragraph"
"TwinBEC 6.0V/3.0A","2","9.384","False","#000000","True","paragraph"
"USB Software Updateability","3","9.384","False","#000000","True","heading"
"Speciﬁcations","1","11.93","True","#000000","True","heading"
"RA00303 Version: 17.12.10","3","5.865","False","#000000","True","paragraph"
"© LRP electronic GmbH 2010","5","5.865","False","#000000","False","paragraph"
"LRP electronic GmbH","3","7.625","False","#000000","False","paragraph"
"Wilhelm-Enssle-Str. 132-134","2","7.625","False","#000000","True","paragraph"
"73630 Remshalden, Germany","3","7.625","False","#000000","True","paragraph"
"info@LRP.cc - www.LRP.cc","3","7.625","False","#000000","False","paragraph"
"* Transistors rating at 25°C junction temperature Specifications subject to change without notice.","13","5.995","False","#000000","False","paragraph"
"Connections & Explanations","3","11.93","True","#000000","True","heading"
"(Orange) (Yellow) (Red) (Black) (Blue)","5","1.734","False","#000000","False","paragraph"
"MOT.C +","2","4.776","False","#000000","True","paragraph"
"MOT.B MOT.A -","3","4.776","False","#000000","True","paragraph"
"Power Capacitor BAT BAT","4","7.194","False","#000000","True","paragraph"
"Sensor Connector","2","7.194","False","#000000","True","paragraph"
"(underneath solder tabs)","3","7.194","False","#000000","False","paragraph"
"Switch Receiverwire -","3","3.162","False","#000000","True","paragraph"
"On/Off","1","3.42","False","#000000","True","paragraph"
"Receiver Connecting Wire: The SXX-SS V2 is equipped with","9","7.194","False","#000000","False","paragraph"
"an LRP Multicon receiver wire. As supplied, it will easily fit in","12","7.194","False","#000000","False","paragraph"
"all ordinary receivers. Make sure you connect it to receiver","10","7.194","False","#000000","False","paragraph"
"with correct polarity and use channel 2.","7","7.194","False","#000000","False","paragraph"
"Sensor Connector: The bi-directional multipole sensor wire","7","7.194","False","#000000","False","paragraph"
"connects the speed-control and the motor. Always use the","9","7.194","False","#000000","False","paragraph"
"sensor wire and do not alter or modify this cable! There are","12","7.194","False","#000000","False","paragraph"
"replaceable/optional hall sensor wires available.","5","7.194","False","#000000","False","paragraph"
"Through this sensor connector, the SXX-SS V2 can also be","10","7.194","False","#000000","False","paragraph"
"updated with the latest software updates using the optional","9","7.194","False","#000000","False","paragraph"
"„USB Bridge #81800“. Please refer to chapter „USB Soft-","9","7.194","False","#000000","False","paragraph"
"ware Updateability“ for details","4","7.194","False","#000000","False","paragraph"
"Power Wires: For maximum performance, flexible silicone","7","7.194","False","#000000","False","paragraph"
"power wires without any connectors are used. The unique","9","7.194","False","#000000","False","paragraph"
"splitted solder-tabs allow easy and convenient replacement","7","7.194","False","#000000","False","paragraph"
"of the power wires. Nevertheless some soldering skills are","9","7.194","False","#000000","False","paragraph"
"required. Avoid soldering longer then 5sec per joint to avo-","10","7.194","False","#000000","False","paragraph"
"id possible damage due to overheating of the components!","9","7.194","False","#000000","False","paragraph"
"There are replacement power wires available, please refer to","9","7.194","False","#000000","False","paragraph"
"complete line-up at www.LRP.cc.","4","7.194","False","#000000","False","paragraph"
"Heatsink: To achieve best perfomance even under extreme","8","7.194","False","#000000","False","paragraph"
"conditions, the heatsink has been directly mounted to the","9","7.194","False","#000000","False","paragraph"
"speed-control. This ensures the best possible heat transfer","8","7.194","False","#000000","False","paragraph"
"away from the speed-control.","4","7.194","False","#000000","False","paragraph"
"Caution: Never attempt to remove the heatsink or your SXX-","10","7.194","False","#000000","False","paragraph"
"SS V2 may get damaged! The heatsink is an integral part,","11","7.194","False","#000000","False","paragraph"
"glued to the fet‘s and therefore cannot be removed.","9","7.194","False","#000000","False","paragraph"
