"line","word_count","font_size","is_bold","color","title_case","label"
"Table 8.12 - Own brand shares (food only) for leading retailers, 1996","12","12.591","True","#000000","False","paragraph"
"Source: Secodip-linéaires, 1997","3","12.012","False","#000000","True","paragraph"
"Table 8.13 illustrates the development of own brand market shares in supermarkets and hypermarkets:","14","12.187","False","#000000","False","paragraph"
"Table 8.13 - National brands, Own brand and low price items shares for supermarkets and","15","12.591","True","#000000","False","paragraph"
"hypermarkets","1","12.591","True","#000000","False","paragraph"
"Source: LSA, 1998","3","12.012","False","#000000","True","paragraph"
"Own brands growth is a major trend in the recent evolution of distribution. In 1995, own brands provided","18","12.187","False","#000000","False","paragraph"
"on average 20% of sales (25% of shelf space) compared to only 10% ten years before and the development","19","12.187","False","#000000","False","paragraph"
"goes on. Leclerc, for instance, which was initially opposed to own brand development (less than 7% of","17","12.187","False","#000000","False","paragraph"
"sales before 1997 were own brand), changed its strategy in 1997 and its goal is now to double its own","20","12.187","False","#000000","False","paragraph"
"brands turnover. Retailers try to reinforce the association between their name and their own products.","15","12.187","False","#000000","False","paragraph"
"92","1","13.392","False","#000000","True","paragraph"
"Table 8.14 gives own brands market shares for the main retailers in 1993.","13","12.187","False","#000000","False","paragraph"
"Table 8.14 - Own brand shares for leading retailers, 1993","10","12.591","True","#000000","False","paragraph"
"Source: GIRA, 1993-1994","3","12.012","False","#000000","True","paragraph"
"As noted above, retailers set higher margins on own brands than on other brands even if retail prices are","19","12.187","False","#000000","False","paragraph"
"lower. According to ICC 95, the mark up rate fixed by retailers is estimated on average at 23% of the","20","12.187","False","#000000","False","paragraph"
"turnover for own brands, 15% for low price products and 14.5% for national brands. Moreover, shelf","16","12.187","False","#000000","False","paragraph"
"space profitability is higher: if the gross mark-up per square meter of shelf space index is 100 then own","19","12.187","False","#000000","False","paragraph"
"brands profitability is 123, low price items profitability is 63 and national brands profitability is 103.","16","12.187","False","#000000","False","paragraph"
"8.5 Internationalisation","2","12.591","True","#000000","True","heading"
"Internationalisation has been an important feature of French hypermarket and supermarket chains. There","13","12.187","False","#000000","False","paragraph"
"are two main reasons why such internationalisation exists. First, the French food retail market is fairly","16","12.187","False","#000000","False","paragraph"
"saturated, and, in particular with the Raffarin law recently introduced, future hypermarket or supermarket","14","12.187","False","#000000","False","paragraph"
"growth within France is more difficult. Second, international subsidiaries tend to be more profitable than","15","12.187","False","#000000","False","paragraph"
"domestic ones, particularly in countries in southern (or eastern) Europe where large store development lags","15","12.187","False","#000000","False","paragraph"
