"line","word_count","font_size","is_bold","color","title_case","label"
"Lorem ipsum dolor sit amet, consectetuer adipiscing","7","11.568","False","#000000","False","paragraph"
"elit. Ut a sapien. Aliquam aliquet purus molestie dolor.","9","11.568","False","#000000","False","paragraph"
"Integer quis eros ut erat posuere dictum. Curabitur","8","11.568","False","#000000","False","paragraph"
"dignissim. Integer orci. Fusce vulputate lacus at ipsum.","8","11.568","False","#000000","False","paragraph"
"Quisque in libero nec mi laoreet volutpat. Aliquam eros","9","11.568","False","#000000","False","paragraph"
"pede, scelerisque quis, tristique cursus, placerat","6","11.568","False","#000000","False","paragraph"
"convallis, velit. Nam condimentum. Nulla ut mauris.","7","11.568","False","#000000","False","paragraph"
"Curabitur adipiscing, mauris non dictum aliquam, arcu","7","11.568","False","#000000","False","paragraph"
"risus dapibus diam, nec sollicitudin quam erat quis","8","11.568","False","#000000","False","paragraph"
"ligula. Aenean massa nulla, volutpat eu, accumsan et,","8","11.568","False","#000000","False","paragraph"
"fringilla eget, odio. Nulla placerat porta justo. Nulla","8","11.568","False","#000000","False","paragraph"
"vitae turpis. Praesent lacus.","4","11.568","False","#000000","False","paragraph"
"Nulla facilisi. Nam varius ante dignissim arcu.","7","11.568","False","#000000","False","paragraph"
"Suspendisse molestie dignissim neque. Suspendisse","5","11.568","False","#000000","False","paragraph"
"leo ipsum, rutrum cursus, malesuada id, dapibus sed,","8","11.568","False","#000000","False","paragraph"
"urna. Fusce sollicitudin laoreet diam. Mauris eu quam","8","11.568","False","#000000","False","paragraph"
"eget nulla fermentum adipiscing. In hac habitasse","7","11.568","False","#000000","False","paragraph"
"platea dictumst. Morbi ut odio vitae eros luctus luctus.","9","11.568","False","#000000","False","paragraph"
"Ut diam. Phasellus ullamcorper arcu vitae wisi.","7","11.568","False","#000000","False","paragraph"
"Pellentesque urna odio, varius eget, dignissim quis,","7","11.568","False","#000000","False","paragraph"
"vehicula placerat, nunc. Ut nec metus quis nulla","8","11.568","False","#000000","False","paragraph"
"posuere eleifend.","2","11.568","False","#000000","False","paragraph"
"Vivamus neque velit, ornare vitae, tempor vel, ultrices","8","11.568","False","#000000","False","paragraph"
"et, wisi. Cras pede. Phasellus nunc turpis, cursus non,","9","11.568","False","#000000","False","paragraph"
"rhoncus vitae, sollicitudin vel, velit.","5","11.568","False","#000000","False","paragraph"
"Vivamussuscipitlorem sed felis. Vestibulum vestibulum","5","11.568","False","#000000","False","paragraph"
"ultrices turpis. Lorem ipsum dolor sit amet,","7","11.568","False","#000000","False","paragraph"
"consectetuer adipiscing elit.","3","11.568","False","#000000","False","paragraph"
"Praesentornarenullanecjusto. Sed nec risus ac risus","6","11.568","False","#000000","False","paragraph"
"fermentum vestibulum. Etiam viverra viverra sem.","6","11.568","False","#000000","False","paragraph"
"Etiam molestie mi quis metus hendrerit tristique.","7","11.568","False","#000000","False","paragraph"
"Nam iaculis blandit purus. Mauris odio nibh, hendrerit","8","11.568","False","#000000","False","paragraph"
"id, cursus vel, sagittis a, dolor. Nullam turpis lacus,","9","11.568","False","#000000","False","paragraph"
"ultrices vel, sagittis vitae, dapibus vel, elit. Suspendisse","8","11.568","False","#000000","False","paragraph"
"auctor, sapien et","3","11.568","False","#000000","False","paragraph"
"consequat sem, eu","3","11.568","False","#000000","False","paragraph"
"suscipit tempor, turpis enim","4","11.568","False","#000000","False","paragraph"
"dictum nunc lorem at massa.","5","11.568","False","#000000","False","paragraph"
"Pellentesque scelerisque purus. Etiam sed enim.","6","11.568","False","#000000","False","paragraph"
"Maecenas sed tortor id turpis consequat consequat.","7","11.568","False","#000000","False","paragraph"
"Curabitur fringilla. Sed risus wisi, dictum a, sagittis nec,","9","11.568","False","#000000","False","paragraph"
"luctus ac, neque. Lorem ipsum dolor sit amet,","8","11.568","False","#000000","False","paragraph"
"consectetuer adipiscing elit. Sed nibh neque, aliquam","7","11.568","False","#000000","False","paragraph"
"ut, sagittis id, gravida","4","11.568","False","#000000","False","paragraph"
"pretium enim. Aenean","3","11.568","False","#000000","False","paragraph"
"adipiscing et, lacinia","3","11.568","False","#000000","False","paragraph"
"et, est. Aenean consectetuer","4","11.568","False","#000000","False","paragraph"
"tellus quam, condimentum a,","4","11.568","False","#000000","False","paragraph"
"vel, ante. Praesent faucibus","4","11.568","False","#000000","False","paragraph"
"dignissim enim. Aliquam tincidunt. Mauris leo ante,","7","11.568","False","#000000","False","paragraph"
"condimentum eget, vestibulum sit amet, fringilla eget,","7","11.568","False","#000000","False","paragraph"
"diam. Nam ultricies ullamcorper nibh. Etiam neque. Ut","8","11.568","False","#000000","False","paragraph"
"posuere laoreet fade.","3","11.568","False","#000000","False","paragraph"
