"line","word_count","font_size","is_bold","color","title_case","label"
"Parsr: Turn your documents into data!","6","24","True","#000000","False","heading"
"P arsr allows a data scientist, an analyst, a developer, or an enthusiast to automatically obtain","16","11","False","#000000","False","paragraph"
"structured data from a compiled PDF or an image or scanned document. It is a minimal-footprint","16","11","False","#000000","False","paragraph"
"document cleaning, parsing and extraction toolchain which generates readily available, organized","11","11","False","#000000","False","paragraph"
"and usable data for data scientists and developers.","8","11","False","#000000","False","paragraph"
"C urrently, Parsr has (but is not limited to) the following features:","12","11","False","#000000","False","paragraph"
"Text Order Detection","3","11","False","#000000","True","paragraph"
"Page Number Detection","3","11","False","#000000","True","paragraph"
"Header-Footer Detection","2","11","False","#000000","True","paragraph"
"Table Detection and Reconstruction","4","11","False","#000000","True","paragraph"
"Named Entity Recognition (Dates, Percentages, etc)","6","11","False","#000000","False","paragraph"
"Key-Value Pair Detection (for the extraction of specific form-based entries)","10","11","False","#000000","False","paragraph"
"Link Detection","2","11","False","#000000","True","paragraph"
"Heading Detection","2","11","False","#000000","True","paragraph"
"Document Hierarchy Regeneration (Words, Lines and Paragraphs)","7","11","False","#000000","False","paragraph"
"Whitespace Removal, etc","3","11","False","#000000","True","paragraph"
"F urthermore, the pipeline is extensible and one’s own module can be easily introduced.","14","11","False","#000000","False","paragraph"
"Parsr’s pipeline’s backbone is based on Typescript, but it can easily be extended using modules","15","11","False","#000000","False","paragraph"
"plugging into tools built from flavors like Python or Haskell.","10","11","False","#000000","False","paragraph"
"P arsr supports a choice among multiple extraction engines for each type of input. Parsr extracts","16","11","False","#000000","False","paragraph"
"textual data from PDF files using pdftojson and from images using OCR adapters such as tesseract.","16","11","False","#000000","False","paragraph"
"The user even has the choice to use the proprietary ABBYY FineReader solution for using a","16","11","False","#000000","False","paragraph"
"professional grade OCR as the backend for enhanced text recognition precision.","11","11","False","#000000","False","paragraph"
"P arsr provides users with clean, structured and label-enriched information set. The output","13","11","False","#000000","False","paragraph"
"(formatted as a friendly, documented JSON file) can possibly contain data with fine granularity","14","11","False","#000000","False","paragraph"
"(bounding boxes for each letter of each word), to relatively low frequency details like the sizes and","17","11","False","#000000","False","paragraph"
"margins of each page.","4","11","False","#000000","False","paragraph"
"The user can also generate outputs in the formats of Markdown, Raw Text, PDF, CSV (for tabular","17","11","False","#000000","False","paragraph"
"data), and others. New output formats can also be easily generated using an extensible output","15","11","False","#000000","False","paragraph"
"module system for easy extensibility.","5","11","False","#000000","False","paragraph"
"T he Parsr toolchain’s open-source dependency set is minimal: node.js, qpdf, mupdf-tools,","12","11","False","#000000","False","paragraph"
"imagemagick, tesseract, pdf2json, pandoc and camelot. An optional proprietary dependency ABBYY","11","11","False","#000000","False","paragraph"
"FineReader is equally supported.","4","11","False","#000000","False","paragraph"
"T he ready-to-use applications range from data entry and document analysis automation, archival,","13","11","False","#000000","False","paragraph"
"and many others.","3","11","False","#000000","False","paragraph"
"Furthermore, it is free and open source!","7","11","False","#000000","False","paragraph"
"Parsr was built by the community using community-made tools for the community itself. Delve right","15","11","False","#000000","False","paragraph"
"in; check it out and help improve this version 0.1 making Parsr the standard for data extraction from","18","11","False","#000000","False","paragraph"
"documents!","1","11","False","#000000","False","paragraph"
"Internal","1","10","False","#000000","True","paragraph"
