"line","word_count","font_size","is_bold","color","title_case","label"
"Training Certification","2","15.51","True","#000000","True","heading"
"Brochure Of The EBX Development Bronze Certification For Individuals","9","15.51","True","#000000","True","heading"
"Objectives","1","12.69","True","#000000","True","heading"
"Customers using the EBX product often need the services of","10","11.547","False","#000000","False","paragraph"
"partners of TIBCO Software to build their EBX applications.","9","11.547","False","#000000","False","paragraph"
"This brochure describes a certification intended to let:","8","11.547","False","#000000","False","paragraph"
"A customer trust selected knowledge and skills of a partner,","10","11.547","False","#000000","False","paragraph"
"A partner highlight selected knowledge and skills to a customer.","10","11.547","False","#000000","False","paragraph"
"This certification can be taken by an employee of a partner,","11","11.547","False","#000000","False","paragraph"
"willing to be candidate.","4","11.547","False","#000000","False","paragraph"
"The selected knowledge and skills span, at elementary level,","9","11.547","False","#000000","False","paragraph"
"the content domain of the EBX Development training.","8","11.547","False","#000000","False","paragraph"
"Candidates","1","12.69","True","#000000","True","heading"
"This certification is intended mainly for these candidate profiles:","9","11.547","False","#000000","False","paragraph"
"Developers","1","11.547","False","#000000","True","paragraph"
"Architects","1","11.547","False","#000000","True","paragraph"
"Project managers","2","11.547","False","#000000","False","paragraph"
"Prerequisites","1","12.69","True","#000000","True","heading"
"To take this certification, a candidate is required to have passed:","11","11.547","False","#000000","False","paragraph"
"The EBX Foundations Bronze certification.","5","11.547","False","#000000","False","paragraph"
"Process","1","12.69","True","#000000","True","heading"
"To take this certification, a candidate has to follow these steps:","11","11.547","False","#000000","False","paragraph"
"Browsing the certification website for information.","6","11.547","False","#000000","False","paragraph"
"Selecting a test date and location in the website calendar.","10","11.547","False","#000000","False","paragraph"
"Registering for this test using the website registration form.","9","11.547","False","#000000","False","paragraph"
"Preparing thoroughly the test in the entire content domain.","9","11.547","False","#000000","False","paragraph"
"Taking the test at the chosen date and location.","9","11.547","False","#000000","False","paragraph"
"Receiving the test result within 1 week following the test.","10","11.547","False","#000000","False","paragraph"
"If passed, receiving the certificate attached to the test result.","10","11.547","False","#000000","False","paragraph"
"If failed, retaking a test after a delay of at least 1 month.","13","11.547","False","#000000","False","paragraph"
"Preparation","1","12.69","True","#000000","True","heading"
"To prepare a test, a candidate is recommended these actions:","10","11.547","False","#000000","False","paragraph"
"Attending the EBX Development training,","5","11.547","False","#000000","False","paragraph"
"Studying the training material in the entire content domain,","9","11.547","False","#000000","False","paragraph"
"Using the product in the content domain,","7","11.547","False","#000000","False","paragraph"
"Studying the product documentation in the content domain.","8","11.547","False","#000000","False","paragraph"
"Test","1","12.69","True","#000000","True","heading"
"A test has this format:","5","11.547","False","#000000","False","paragraph"
"The form is multiple choice.","5","11.547","False","#000000","False","paragraph"
"The language is English.","4","11.547","False","#000000","False","paragraph"
"There are 40 questions.","4","11.547","False","#000000","False","paragraph"
"The allowed time is 60 minutes.","6","11.547","False","#000000","False","paragraph"
"The passing score is 70%.","5","11.547","False","#000000","False","paragraph"
"Validity","1","12.69","True","#000000","True","heading"
"A certificate is valid within the 3 years following the passed test.","12","11.547","False","#000000","False","paragraph"
"Confidentiality","1","12.69","True","#000000","True","heading"
